key;en-GROUP;hu-HU-x-HU text
explanatoryCard.search.recommendationsOptIn;;Ne hagyd ki a megtekintéseid, felvételeid vagy kölcsönzéseid alapján személyedre szabott műsorokat. A Személyes ajánló bekapcsolásához nyomd meg az OK gombot
explanatoryCard.search.title;;Az igényeidnek megfelelő találatok
explanatoryCard.switchOn;;Bekapcsolás
fastZap.barker.countdown;;Az alkalmazás <br/>megnyílik:<div>%1 mp</div>
fastZap.upNext;;Következő műsor
firstInstall.automaticRecordingsMoreInfoScreen.description;;A Vodafone TV egyik fő funkciója, hogy visszanézheted az elmúlt hét nap tévéműsorait. A Műsorújságból vagy tévénézés közben a távirányító Fel és Le gombjainak segítségével közvetlenül hozzáférhetsz ezen tartalomhoz. <br/><br/> A funkció használata nem foglalja a tárhelyedet.
firstInstall.automaticRecordingsMoreInfoScreen.title;;Automatikus rögzítés
firstInstall.bleRemotePairLaterScreen.description;;A TV és a távirányító párosításához kérjük, tartsd lenyomva egyidejűleg az 1-es és a sárga gombokat 5 másodpercig.<br/>Ha sikerült a távirányító párosítása, tartsd lenyomva a 3-as és a sárga gombokat 5 másodpercig a párosítás feloldásához.<br/>Ne aggódj, ha nem sikerül a párosítás, később bármikor megteheted és továbbra is működni fog, ha azt a Vodafone Mediabox felé irányítod.
firstInstall.bleRemotePairingScreen.description;;A TV és a távirányító párosításához kérjük, tartsd lenyomva egyidejűleg az 1-es és a sárga gombokat 5 másodpercig.<br/>Ha a távirányítót sikerült párosítani, tartsd lenyomva a 3-as és a sárga gombokat 5 másodpercig a párosítás feloldásához.
firstInstall.bleRemotePairingScreen.title;;Távirányító párosítása
firstInstall.bleRemotePairingSuccessScreen.description;;A Vodafone Mediabox párosítva a távirányítóval
firstInstall.bleRemotePairingSuccessScreen.title;;Sikeres párosítás
firstInstall.buttons.ATP;;ATP
firstInstall.buttons.I&D;;I&D
firstInstall.buttons.agree;;Elfogadom
firstInstall.buttons.back;;Vissza
firstInstall.buttons.deepMode;;Energiatakarékos mód bekapcsolás
firstInstall.buttons.developerMode;;Fejlesztői üzemmód
firstInstall.buttons.disagree;;Nem fogadom el
firstInstall.buttons.instantMode;;Energiatakarékos mód kikapcsolás
firstInstall.buttons.manual;;Kezelési útmutató
firstInstall.buttons.moreInfo;;Több információ
firstInstall.buttons.reset;;Alaphelyzetbe állítás
firstInstall.buttons.skipScanning;;Keresés átugrása
firstInstall.buttons.tryAgainWithEthernet;;Újrapróbál
firstInstall.buttons.updateAndReboot;;Frissítés és újraindítás
firstInstall.buttons.validate;;Érvényesítés
firstInstall.cheatMenuScreen.desc;;A művelet felülírja a Vodafone Mediabox konfigurálási paramétereket
firstInstall.cheatMenuScreen.title;;Beállítások menü
firstInstall.consent.description;;A személyre szabott reklámokhoz el kell fogadnod vagy el kell utasítanod a feltételeket.
firstInstall.contentSettingsScreen.automaticRecordingsAgreement.title;;Automatikusan rögzíti az összes csatornát, hogy megtekinthesd a korábbi műsorok tartalmát
firstInstall.contentSettingsScreen.recommendationsAgreement.title;;Mutass Személyes ajánlót filmekről és műsorokról, melyeket látnod kell
firstInstall.contentSettingsScreen.title;;Tartalom beállítások
firstInstall.firmwareUpdateScreen.desc;;Kérjük, telepítsd az elérhető szoftverfrissítéseket! A frissítés befejezése után az eszköz automatikusan újraindul
firstInstall.firmwareUpdateScreen.title;;Frissítések
firstInstall.irRfRemotePairLaterScreen.description;;A TV és a távirányító párosításához kérjük, tartsd lenyomva egyidejűleg az 1-es és a sárga gombokat 5 másodpercig.<br/>Ha sikerült a távirányító párosítása, tartsd lenyomva a 3-as és a sárga gombokat 5 másodpercig a párosítás feloldásához.<br/>Ne aggódj, ha nem sikerül a párosítás, később bármikor megteheted és továbbra is működni fog, ha azt a Vodafone Mediabox felé irányítod.
firstInstall.irRfRemotePairingScreen.description;;A távirányító és a Vodafone Mediabox párosításához kérjük, tartsd lenyomva az 1-es és a sárga gombokat egyidejűleg 5 másodpercig
firstInstall.irRfRemotePairingScreen.title;;Távirányító párosítása
firstInstall.irRfRemotePairingSuccessScreen.description;;A Vodafone Mediabox párosítva a távirányítóval
firstInstall.irRfRemotePairingSuccessScreen.title;;Párosítva
firstInstall.powerSaving.description;;Ha a hangfelismerést akarod használni vagy zenét lejátszani Bluetooth-on vagy Spotify-on keresztül készenléti üzemmódban, akkor ezt a kapcsolót KI kell kapcsolnod. <br><br> Egyéb esetben a készülék kikapcsolása után ezeket csak rövid ideig tudod megtenni.<br><br>A későbbiekben ez a Vodafone TV Box Beállításaiban módosíthatod.
firstInstall.powerSaving.title;;Energiatakarékosság
firstInstall.powerSaving.turnOff;;Kikapcsolás
firstInstall.powerSaving.turnOn;;Bekapcsolás
firstInstall.progressbar.complete.label;;Csatornakeresés befejeződött
firstInstall.progressbar.label;;Csatornakeresés folyamatban %1%
firstInstall.recommendationsMoreInfoScreen.description;;Filmek és tévéműsorok, amiket látnod kell!<br/><br/>Ne hagyd ki a megtekintéseid, felvételeid vagy kölcsönzéseid alapján személyedre szabott műsorokat! Nyomd meg az OK gombot vagy válaszd az Adatkezelés/Adatkezelési hozzájárulás menüpontot a Beállítások között.<br/><br/>Később bármikor kikapcsolhatod ezt a funkciót
firstInstall.recommendationsMoreInfoScreen.title;;Személyes ajánló
firstInstall.recoverPwdScreen.description;;Olvasd be ezt a QR kódot a mobiloddal, hogy helyreállítsd vagy módosítsd a jelszavadat.
firstInstall.recoverPwdScreen.subtitle;;QR kód beolvasása
firstInstall.recoverPwdScreen.title;;Vodafone TV Jelszó Visszaállítás
firstInstall.scanSummaryScreen.description.fail;;Nem találhatóak csatornák.<br/>Csatlakoztasd még egyszer az antennakábelt, majd próbáld újra, vagy látogass el a vodafone.hu/tv weboldalra segítségért!
firstInstall.scanSummaryScreen.description.fail.OTTOnly;;Sajnáljuk, a csatornakeresés sikertelen. Kérjük, ellenőrizd a hálózati kapcsolatot, majd próbáld újra.
firstInstall.scanSummaryScreen.description.fail.cable;;Sajnáljuk, a csatornakeresés sikertelen. Kérjük, ellenőrizd a kábelcsatlakozást, majd próbáld újra!
firstInstall.scanSummaryScreen.description.fail.ftth;;Sajnáljuk, a csatornakeresés sikertelen. Kérjük, ellenőrizd a kábelcsatlakozást, majd próbáld újra!
firstInstall.scanSummaryScreen.description.partial;;<div class='halfSummary'>Szabadon fogható csatornák<div class='channelsSummary'><div>%1 TV</div><div>%2 Rádió</div></div></div><div class='halfSummary'>Internet<div class='channelsSummary'>%3 TV</div></div></div>A csatornakeresés megszakadt. Kérjük, csatlakoztasd még egyszer az antennakábelt, majd indítsd újra a keresést!
firstInstall.scanSummaryScreen.description.partial.cable;;<div class='halfSummary'>Kábel<div class='channelsSummary'><div>%1 TV</div><div>%2 Radio</div></div></div><div class='halfSummary'>Internet<div class='channelsSummary'>%3 TV</div></div></div>Kérjük, ellenőrizd a kábelcsatlakozást, majd próbáld újra!
firstInstall.scanSummaryScreen.description.partial.ftth;;<div class='halfSummary'>IP<div class='channelsSummary'><div>%1 TV</div><div>%2 Rádió</div></div></div><div class='halfSummary'>Internet<div class='channelsSummary'>%3 TV</div></div></div> Kérjük, ellenőrizd a kábelcsatlakozást, majd próbáld újra!
firstInstall.scanSummaryScreen.description.success;;Csatornakeresés véget ért.<br/>A következő csatornákat találtuk:<br/><div class='halfSummary'>Szabadon fogható csatornák<div class='channelsSummary'><div>%1 TV</div><div>%2 Rádió</div></div></div><div class='halfSummary'>Internet<div class='channelsSummary'>%3 TV</div></div></div>
firstInstall.scanSummaryScreen.description.success.OTTOnly;;Csatornakeresés véget ért.<.<br/> Az alábbi csatornákat sikerült találni:<br/><div class='halfSummary'>Internet<div class='channelsSummary'>%1 TV</div></div></div>
firstInstall.scanSummaryScreen.description.success.cable;;Csatornakeresés véget ért.<br/>Az alábbi csatornákat sikerült találni:<br/><div class='halfSummary'>Kábel<div class='channelsSummary'><div>%1 TV</div><div>%2 Rádió</div></div></div><div class='halfSummary'>Internet<div class='channelsSummary'>%3 TV</div></div></div>
firstInstall.scanSummaryScreen.description.success.ftth;;Csatornakeresés véget ért.<br/>Az alábbi csatornákat sikerült találni:<br/><div class='halfSummary'>Kábel<div class='channelsSummary'><div>%1 TV</div><div>%2 Rádió</div></div></div><div class='halfSummary'>Internet<div class='channelsSummary'>%3 TV</div></div></div>
firstInstall.standbyModeSelectionScreen.desc;;Kérjük, válassz egy energiatakarékos üzemmódot<br><br>Az energiatakarékos módot kikapcsolva a Vodafone Mediabox gyorsabban indul (de kevesebb energiát takarít meg)<br><br>A bekapcsolt energiatakarékos módban az eszköz lassabban indul el (de több energiát takarít meg)
firstInstall.standbyModeSelectionScreen.title;;Készenléti mód
firstInstall.startChannelsScanScreen.description.cable;;Csatornakeresés indítása. Kérjük, győződj meg róla, hogy csatlakoztatva van a megfelelő kábel!
firstInstall.startChannelsScanScreen.description.ftth;;A csatornakeresés az otthonodban elérhető <br/> TV- és rádiócsatornákat jeleníti meg
firstInstall.unpairRfRemoteScreen.description;;Nyomd meg és tartsd nyomva a sárga és a 3-as gombot a távirányító párosításához.
firstInstall.wifiBandwidthStateScreen.buttons.retry;;Újrapróbál
firstInstall.wifiNetworkErrorScreen.wirelessConnectionError;;Nem vált lehetségessé a Wi-Fi kapcsolat megteremtése, kérlek próbáld újra.
firstInstall.wifiNetworkSelector.wps;;WPS opció
firstInstall.wiredNetworkScreen.noInternet;;A Vodafone Mediabox nem tud kapcsolódni a kiszolgálóhoz.<br/>Kérjük, próbáld újra később vagy lépj kapcsolatba az Ügyfélszolgálattal! [SC115]
folder.bundle.includes;;Magában foglalja
folder.button.confirm;;Megerősítés
folder.button.selfcare.subscribe;;Előfizetés
folder.button.subscribe;;Előfizetés %1/hónap
folder.button.subscribed;;Előfizetett
folder.channelGrid.title;;Csatorna: %1
folder.subscriptionType.app;;Előfizetés az alkalmazásra
folder.subscriptionType.individualLinearChannel;;Csatorna előfizetés
folder.subscriptionType.pack;;Előfizetési csomag
ftu.welcome.scanQR.button.description;;Ha a Vodafone TV alkalmazást már letöltötted, válaszd ezt az opciót a kamerán keresztüli gyorsabb bejelentkezéshez.
ftu.welcome.signUp.buttonText;;Feliratkozás
gdpr.consent;;Hozzájárulás
gdpr.notice;;Tájékoztató
gdpr.privacy;;Adatkezelés
gdpr.privacy.consent.ads.description;;A személyreszabott reklámokhoz, meg kell adnod a hozzájárulásodat.
gdpr.privacy.consent.confirmation;;A jóváhagyás hiányában lemaradsz a személyes ajánlásokról és a többi olyan extra funkcióról, amelyek a Vodafone TV kiemelkedő ügyfélélményét biztosítják. <br/>Folytatni szeretnéd vagy Visszalépsz, hogy mégis változtass a Beállításokon?
gdpr.privacy.consent.description;;A személyes ajánlások megjelenítéséhez szükség van a hozzájárulásodra.
gdpr.privacy.consent.kids.description;;A Gyereksarok összes funkciójának kihasználásához szükség van a hozzájárulásodra.
gdpr.privacy.consent.title;;Adatkezelési hozzájárulás
gdpr.privacy.default.notice;;
gdpr.privacy.notice.description;;Az alkalmazás használatához szükség van a hozzájárulásodra.
gdpr.privacy.notice.title;;Adatkezelési tájékoztató
gdpr.privacy.settings.agree;;Hozzájárulok
gdpr.privacy.settings.agreed;;Hozzájárultam
gdpr.privacy.settings.agreedAll;;Mindhez hozzájárultam
gdpr.privacy.settings.consent.description;;A Személyes ajánló megjelenítéséhez szükség van a hozzájárulásodra.
gdpr.privacy.settings.description;;Visszavonhatod a választásod ezt választva
gdpr.privacy.settings.disagree;;Nem járulok hozzá
gdpr.privacy.settings.disagreedAll;;Egyikhez se járultam hozzá.
gdpr.privacy.settings.notAgreed;;Nem járultam hozzá
gdpr.privacy.settings.notice.description;;Az alkalmazás használatához szükség van a hozzájárulásodra.
gdpr.privacy.thirdPartyConsent.description;;
gdpr.privacy.thirdPartyConsent.title;;3. Feles Adatkezelési Hozzájárulás
hpvr.countdown.shortSeconds;;%1 másodperc
hpvr.dismiss;;Elvetés
hpvr.formatDisk;;Lemez formázása
hpvr.hdd.connected;;
hpvr.hdd.eject.popup.title;;Újra kell csatlakoztatnod a helyi meghajtódat a helyi felvételek megtekintéséhez.
hpvr.hdd.ongoing.eject.popup.title;;Ha eltávolítod a külső meghajtót, elveszíted a folyamatban lévő helyi felvétele(i)det.
hpvr.hdd.recognized;;
hpvr.hddFormat.popup.subtitle;;Előfordulhat, hogy formáznod kell ezt a meghajtót, ha úgy döntesz, minden rajta tárolt tartalom törlődik
hpvr.hddFormat.popup.title;;Nem lehet csatlakozni ehhez a helyi meghajtóhoz.
hpvr.hddFormatFailed.popup.subtitle;;Megpróbálhatod ismét formázni a meghajtót. Ha a hiba továbbra is fennáll, kérjük, lépj kapcsolatba az Ügyfélszolgálattal!
hpvr.hddFormatFailed.popup.title;;A helyi meghajtó formázása során hiba történt.
hpvr.hddFormatting.popup.subtitle;;Meghajtó formázása folyamatban
hpvr.hddFormatting.popup.title;;Helyi meghajtó formázása
hpvr.hddFormattingDone.popup.subtitle;;Ahhoz, hogy a helyi meghajtót használd a felvételeidhez, újra kell indítanod a mediaboxot.
hpvr.hddFormattingDone.popup.title;;Helyi meghajtó sikeresen formázva.
hpvr.hddNotRecognize.popup.subtitle;;Kérjük, győzödj meg róla, hogy csatlakoztál a Vodafone TV helyi meghajtójához!
hpvr.hddNotRecognize.popup.title;;Nem sikerült felismerni a helyi meghajtót
hpvr.hddPlugged.popup.subtitle;;A helyi meghajtóddal történő rögzítéshez újra kell indítanod a Mediaboxod. /n/n A Mediaboxod automatikusan újraindul ennyi időn belül
hpvr.hddPlugged.popup.title;;Csatlakoztatott helyi meghajtó
hpvr.newHddPlug;;Helyi meghajtó csatlakoztatva
hpvr.recording.cancelled;;Felvétel visszavonva
hpvr.recording.channelNotFound;;A rögzítés nem kezdhető meg, mert a csatorna nem található
hpvr.recording.completed;;Rögzítés sikeresen befejezve
hpvr.recording.deleted;;Felvétel törölve
hpvr.recording.hddBufferOverflow;;A rögzítés nem véglegesíthető, a merevlemez puffertúlcsordulása miatt
hpvr.recording.noCASSessionAvailable;;A rögzítés nem véglegesíthető, mert nincs rendelkezésre álló CAS munkamenet
hpvr.recording.noEntitlement;;A rögzítés nem véglegesíthető, mert nincs jogosultságod a tartalomhoz
hpvr.recording.noHDD;;A rögzítés nem véglegesíthető, mert a merelemezt eltávolították
hpvr.recording.noHDDSpace;;A rögzítés nem véglegesíthető, mert nincs elég hely a merevlemezen.
hpvr.recording.noHDDWritable;;A rögzítés nem véglegesíthető, mert hiba lépett fel a merevlemezre írás közben
hpvr.recording.noSignal;;A rögzítés nem véglegesíthető mert nincs jel
hpvr.recording.noTunersAvailable;;A rögzítés nem véglegesíthető, mert nem állnak rendelkezésre tunerek.
hpvr.recording.ongoing;;A rögzítés már megkezdődött
hpvr.recording.partiallyCompleted;;A rögzítés megkezdődött, de a rendszer félbeszakította
hpvr.recording.scheduled;;Rögzítés sikeresen időzítve
hpvr.restartLater;;Újraindítás később
hpvr.restartNow;;Újraindítás most
hpvr.subtitle.hddDisconnectedInformations;;A helyi felvételeid eléréséhez újra kell csatlakoznod a helyi meghajtódhoz.
hpvr.subtitle.localQuotaLimitReached;;A helyi rögzítési limit elérve.
hpvr.title.formattingStorage;;A háttértár formázásra került.
hpvr.title.hddDisconnected;;Helyi meghajtó leválasztva
hpvr.title.localQuotaLimitReached;;A helyi rögzítési limit elérve.
hybridPvrNotification.lowStorageForRecord;;Kérjük, a Műsoraim/Felvételek közüli törléssel szabadíts fel tárhelyet
hybridPvrNotification.rescheduledRecording;;Átütemezett felvételek
hybridPvrNotification.rescheduledTo;;%1 <br>-től %2 -ig
improvedRec.cancelEpisodes.selectEpisodes;;Válaszd ki a törlendő epizódokat
improvedRec.deleteEpisodes.selectEpisodes;;Válaszd ki a törlendő epizódokat
improvedRec.deleteProtectedRecording.subtitle;;Ez egy védett felvétel. Mindenképp törlöd?
improvedRec.deleteProtectedRecording.title;;Törlöd a védett felvételt?
improvedRec.deleteProtectedRecordings.subtitle;;Levédett felvételeket is kiválasztottál. Így is törölni szeretnéd őket?
improvedRec.deleteProtectedRecordings.title;;Törlöd a levédett felvételeket?
improvedRec.episodeCancelledAndChooseOption.subtitle;;Több epizódot vagy az egész sorozat rögzítését törlöd?
improvedRec.episodeCancelledAndChooseOption.title;;Az epizód rögzítése sikeresen törölve.
improvedRec.episodeDeletedAndChooseOption.subtitle;;Több epizódot szeretnél törölni vagy a teljes sorozatot?
improvedRec.episodeDeletedAndChooseOption.title;;Az epizód sikeresen törölve.  
improvedRec.filters.all;;Összes
improvedRec.filters.genre.othersInfos;;"A kategória besorolás nélküli korábbi felvételeid az ""Egyéb"" kategóriába kerülnek."
improvedRec.filters.genre.rail.allMovies;;Összes Film
improvedRec.filters.genre.rail.allTvShows;;Összes Sorozat
improvedRec.filters.scheduledRecordings;;Ütemezett felvételek
improvedRec.infos.cloudPercentage;;%1% maradt a felhő felvételekre
improvedRec.infos.localPercentage;;%1% maradt a helyi felvétekre
improvedRec.infos.recordings;;%1 Felvétel
improvedRec.infos.selectedOf;;%1 a %2 -ból kiválasztva
improvedRec.infos.simplePercentage;;%1% hely maradt
improvedRec.infos.updated.recordings;;%1 frissített felvétel...
improvedRec.manage.noItemSelected.cancelDescription;;Legalább egy tételt ki kell választanod a törlés végrehajtásához
improvedRec.manage.noItemSelected.description;;Legalább egy tételt választanod kell a törlési művelet elvégzéséhez.
improvedRec.manage.noItemSelected.title;;Nincs kiválasztott tétel
improvedRec.manage.protectedDescription;;%1 felvétel sikeresen levédve
improvedRec.manage.protectedTitle;;Védett
improvedRec.manage.unprotectedDescription;;Sikeresen megszüntetted %1 felvétel védelmét
improvedRec.manage.unprotectedTitle;;Levédett felvételek kezelése
improvedRec.manageProtect.chooseBothRecordings;;A folytatáshoz %1 helyi és %2 felhőben levő felvétel védelmét meg kell szüntetned.
improvedRec.manageProtect.chooseCloudRecordings;;A folytatáshoz %1 felvétel védelmét kell törölnöd a felhőből!
improvedRec.manageProtect.chooseLocalRecordings;;A folytatáshoz %1 helyi felvétel védelmét meg kell szüntetned.
improvedRec.manageProtect.chooseUnprotect;;Megpróbálsz %1 felvételt levédeni, de csak ennyit lehet: %2
improvedRec.manageProtect.exceedProtected;;Túl sok levédett felvétel
improvedRec.manageProtect.maxAndLeftRecordings;;%1 felvételt próbálsz meg levédeni, de csak %2 felvételt lehet.
improvedRec.manageProtect.maxAndLeftRecordingsBoth;;A meghajtóra és a felhőbe rögzített felvételeid összességéből ennyit védenél le: %1, de csak ennyit lehet: %2.
improvedRec.manageProtect.maxAndLeftRecordingsCloud;;A felhő felvételeidből összességéből ennyit védenél le: %1, de csak ennyit lehet: %2.
improvedRec.manageProtect.maxAndLeftRecordingsLocal;;A meghajtóra rögzített felvételeidből összességéből ennyit védenél le: %1, de csak ennyit lehet: %2.
improvedRec.manageProtect.maximumBothProtected;;Csak maximum ennyi helyi és felhő felvételt védhetsz le: %1
improvedRec.manageProtect.maximumCloudProtected;;Csak maximum ennyi felhő felvételt védhetsz le: %1
improvedRec.manageProtect.maximumLocalProtected;;Csak maximum ennyi helyi felvételt védhetsz le: %1
improvedRec.manageProtect.maximumProtected;;Túl sok levédett felvétel a felhőben.
improvedRec.manageProtect.selectUnprotect;;A megerősítéshez kattints a Felvétel védelmének törlése gombra.
improvedRec.manageProtect.title;;Levédett felvételek kezelése
improvedRec.notification.cancelRecordings.description;;%1 epizód rögzítése sikeresen törölve.
improvedRec.notification.cancelRecordings.title;;Törölt rögzítések
improvedRec.notification.deleteRecordings.description;;Sikeresen töröltél %1 epizódot
improvedRec.notification.deleteRecordings.title;;Felvételek törlése
improvedRec.option.cancel;;Mégse
improvedRec.option.cancelAll;;Az összes törlése
improvedRec.option.cancelSeries;;Sorozatrögzítés elvetése
improvedRec.option.delete;;Törlés
improvedRec.option.deleteAll;;Összes törlése
improvedRec.option.deleteSeries;;Sorozat törlése
improvedRec.option.deleteUnprotect;;Nem levédett felvételek törlése
improvedRec.option.deselectSeason;;%1 évad kijelölés megszüntetése
improvedRec.option.manage;;Kezelés
improvedRec.option.protect;;Védelem
improvedRec.option.selectSeason;;Válaszd a %1 évadot
improvedRec.option.selectSingleEpisodes;;Epizódok kiválasztása
improvedRec.option.showProtected;;Levédett felvételek megjelenítése
improvedRec.option.unprotect;;Védelem feloldása
improvedRec.seriesSelected.subtitle;;Az egész sorozatot szeretnéd kiválasztani, vagy csak egyes epizódokat?
improvedRec.seriesSelected.title;;Sorozat kiválasztva
improvedRec.userAgreement.subtitle;;Biztos vagy benne?
improvedRec.userAgreementForSeries.title;;Törlöd a sorozatot?
improvedRec.userAgreementForUnprotected.title;;Törlöd az összes nem levédett epizódot?
improvedRecordings.cloud.leftSpace;;Csak <b>%1% felhő felvétel maradt</b>.
improvedRecordings.local.leftSpace;;Már csak ennyi helyi felvétel tárhelyed van: <b>%1%</b>.
improvedRecordings.scheduled.recordingClashes;;Ütköző rögzítések
improvedRecordings.scheduled.seriesRecordings;;Sorozatfelvételek
improvedRecordings.scheduled.singleRecordings;;Sima felvételek
jpn;;japán
keyboard.search.otherPlaceholderText;;Nyomd meg a <div class='microIcon'></div> gombot a hangvezérlés használatához
kids.PIN.turnOff;;Kikapcsolás
kids.PIN.turnOn;;Bekapcsolás
kids.accept.consent;;Jóváhagyás elfogadása
kids.accept.notice;;Értesítés elfogadása
kids.actors;;Színészek
kids.agreed;;Elfogadom
kids.back;;Vissza
kids.bedtime.turnedOnFrom;;Bekapcsolva %1 -tól %2 -ig
kids.cancel;;Mégse
kids.characters;;Karakterek
kids.common.continue;;Folytatás
kids.countdown.cancel;;Mégse
kids.countdown.change;;Módosít
kids.countdown.changeTimerSettings;;Visszaszámlálás beállítása
kids.countdown.clearCountdown;;Visszaszámlálás leállítása
kids.countdown.overrideBedtime;;Biztos vagy benne, hogy felülírod %1 lefekvési idejét?<br/>%2 lefekvési ideje %3 óra és %4 perc múlva kezdődik
kids.countdown.shortSeconds;;%1 másodperc
kids.countdown.startCountdown;;Visszaszámlálás indítása
kids.countdown.updateCountdown;;Visszaszámlálás frissítése
kids.countdown.useBedtimeLimit;;Lefekvési idő beállítása
kids.disagreed;;Nem fogadom el
kids.exit;;Kilépés
kids.explanatoryCard.subtitle.text;;Nincs elérhető műsor
kids.explanatoryCard.title.text;;Ajjaj...
kids.ftusettings.ageSelection.setBirthday;;Születésnap beállítása
kids.ftusettings.ageSelection.title;;Válaszd ki az életkorod
kids.ftusettings.birthdaySelection.description;;Kérjük, add meg a születésnapodat, hogy automatikusan frissüljön az életkorod a profilodban!<br/>A Beállításokban ezt később meg is nézheted.
kids.ftusettings.birthdaySelection.set;;Beállítás
kids.ftusettings.birthdaySelection.title;;Születésnap beállítása
kids.ftusettings.buttons.agree;;Elfogadom
kids.ftusettings.buttons.disagree;;Nem fogadom el
kids.ftusettings.buttons.getStarted;;Első lépések
kids.ftusettings.buttons.watchAgain;;Újra lejátszom
kids.ftusettings.changeBirthday.title;;Születésnap megváltoztatása
kids.ftusettings.changeCharacter.title;;Karakter megváltoztatása
kids.ftusettings.changeNickname.title;;Becenév megváltoztatása
kids.ftusettings.characterSelection.title;;Válassz egy karaktert
kids.ftusettings.nicknameEntry.emptyName;;Kérjük, adj meg legalább egy betűt
kids.ftusettings.nicknameEntry.maximumReached;;Csak tíz betű engedélyezett
kids.ftusettings.nicknameEntry.title;;Becenév megadása
kids.gdpr.privacy.consent.confirmation;;A jóváhagyás hiányában lemaradsz az ajánlásokról és a többi olyan extra funkcióról, amelyek a Vodafone TV kiemelkedő ügyfélélményét biztosítják. <br/>Folytatni szeretnéd vagy Visszalépsz, hogy mégis változtass a Beállításokon?
kids.gdpr.privacy.consent.subtitle;;Az ajánlások megjelenítéséhez szükség van a jóváhagyásodra még egyszer
kids.gdpr.privacy.consent.subtitle.part2;;Választásod az összes profilra érvényes
kids.gdpr.privacy.consent.title;;Adatkezelési hozzájárulás
kids.gdpr.privacy.default.consent;;
kids.gdpr.privacy.default.notice;;
kids.gdpr.privacy.notice.title;;Adatkezelési tájékoztató
kids.languages.turnedOff;;Kikapcsolva
kids.languages.turnedOn;;Bekapcsolva
kids.menu;;Menü
kids.menu.episode;;Epizód
kids.menu.season;;Évad
kids.notForKids.changeChannel;;További gyerekműsorok megtekintéséhez kérjük, válts csatornát, vagy lépj vissza a menübe
kids.notForKids.showNotForKids;;Ez a műsor nem gyerekek számára készült
kids.notification.incorrect.configuration.description;;
kids.notification.network.offline.subtitle;;Hálózati hiba lépett fel
kids.notification.network.offline.title;;Hálózati hiba
kids.notification.noContent.message;;Nincs elérhető tartalom
kids.notification.noContent.subtitle;;Nincs gyerekeknek szóló tartalom
kids.notification.noContent.title;;Nincs tartalom
kids.notification.player.error.subtitle;;Lejátszási hiba
kids.notification.player.error.title;;Lejátszási hiba
kids.pinEntry.accessProfile;;Hozzáférés a profilhoz
kids.pinEntry.approveProfile;;Profil jóváhagyása
kids.pinEntry.deleteProfile;;%1 profiljának törlése
kids.pinEntry.enterSettings;;Beállítások megtekintése
kids.pinEntry.exit;;Kilépés a Gyereksarokból
kids.pinEntry.help.defaultPin;;Az alapértelmezett PIN kód 0000
kids.pinEntry.help.details;;Ha engedélyezted, a fő PIN kóddal hagyhatod jóvá a megrendeléseket<br/>, és tranzakciókat, illetve változtathatsz néhány beállításon.<br/><br/><br/>Ezzel a PIN kóddal változtathatók meg a<br/>Gyerekzár beállítások is (ha aktiváltad őket).<br/><br/><br/>
kids.pinEntry.help.whats;;Mi az a fő PIN kód?
kids.pinEntry.title;;Add meg a PIN kódodat
kids.player.back;;Vissza
kids.player.info;;Infó
kids.player.retry;;Újra próbál
kids.player.setCountdown;;Visszaszámlálás beállítása
kids.playerError;;Lejátszási hiba
kids.profileSelection.addProfile;;Profil hozzáadása
kids.profileSelection.aged;;Kor %1
kids.profileSelection.bedtimeStartedSince;;A lefekvési idő ennyi ideje elkezdődött: %1
kids.profileSelection.bedtimeStartedSince.atLeastTwoHours;;A lefekvési idő %1 órája elkezdődött
kids.profileSelection.bedtimeStartedSince.betweenOneHourAndTwoHours;;A lefekvési idő 1 órája és %1 perce elkezdődött
kids.profileSelection.bedtimeStartedSince.lessThanOneHour;;A lefekvési idő %1 perce elkezdődött 
kids.profileSelection.countdownFinishedSince;;A visszaszámlálás befejeződött ennyi ideje: %1
kids.profileSelection.settings;;Beállítások
kids.profileSelection.unconfirmed;; Nincs megerősítve 
kids.profiles;;Profilok
kids.programInfo.audioDescription;;Audionarráció
kids.programInfo.language;;Nyelv
kids.programInfo.subtitles;;Felirat
kids.settings;;Gyerekzár beállítások
kids.settings.bedtime;;Lefekvési idő
kids.settings.bedtime.from;;Kezdete
kids.settings.bedtime.setBedtime;;Lefekvési idő beállítása
kids.settings.bedtime.setTime;;Idő beállítása
kids.settings.bedtime.to;;Vége
kids.settings.changeAge;;Életkor megváltoztatása
kids.settings.changeAvatar;;Profilkép megváltoztatása
kids.settings.changeName;;Név megváltoztatása
kids.settings.content.preferredLanguage;;Választott nyelv
kids.settings.contentSettings;;Tartalom beállítások
kids.settings.delete;;Törlés
kids.settings.deleteProfile;;Profil törlése
kids.settings.editProfile;;Profil szerkesztése
kids.settings.help;;Segítség
kids.settings.pinRequest;;PIN kód kérése
kids.settings.privacy;;Adatkezelés
kids.settings.showVideos;;Bemutató videó lejátszása
kids.settings.subtitle.askForPin;;PIN kód kérése
kids.settings.subtitle.deleteProfile.part1;;Biztos vagy benne?
kids.settings.subtitle.deleteProfile.part2;;Törölni szeretnéd %1 profilját?
kids.settings.timeManagement;;Időzítők
kids.tick.dontShowAgain;;Ne mutasd többet
kids.timeOver.addMoreTime;;Több idő hozzáadása
kids.timeOver.exit;;Kilépés a Gyereksarokból
