key;en-GROUP;sq-AL-x-AL text
explanatoryCard.quota.autoDelete;;Hapësira ruajtëse e regjistrimit është e ulët. Fshirja automatike do të fillojë me regjistrimet e ardhshme të planifikuara.
explanatoryCard.quota.title;;Bli më shumë hapësirë ruajtëse
explanatoryCard.railTitle.mytv.external.myTVRecommendations;;Filma dhe seriale që duhet të shikosh
explanatoryCard.railTitle.mytv.purchasesAndRentals;;Me qira
explanatoryCard.railTitle.mytv.recommendations;;Filma dhe shfaqje televizive që mund të pëlqesh
explanatoryCard.railTitle.mytv.recordings;;Regjistrime
explanatoryCard.railTitle.mytv.rentals;;Me qira
explanatoryCard.railTitle.mytv.scheduledRecordings;;Regjistrime të planifikuara
explanatoryCard.railTitle.mytv.watchnext;;Vazhdo Shikimin
explanatoryCard.railTitle.mytv.wishlist;;Watchlist
explanatoryCard.related.recommendationsOptIn;;Mos humb programet e përshtatura për ty bazuar në atë që shikon, regjistron ose merr me qira. Shtyp OK për të aktivizuar Rekomandimet.
explanatoryCard.related.title;;Më shumë si
explanatoryCard.search.recommendationsOptIn;;Mos humb programet e përshtatura për ty bazuar në atë që shikon, regjistron ose merr me qira. Shtyp OK për të aktivizuar Rekomandimet.
explanatoryCard.search.title;;Rezultati bazuar në preferencat e tua
explanatoryCard.switchOn;;Ndiz
fastZap.barker.countdown;;Aplikacioni hapet në <br/><div>%1 sekonda </div>
fastZap.upNext;;E rradhës
firstInstall.automaticRecordingsMoreInfoScreen.description;;Një nga funksionalitetet e Vodafone TV është shikimi i programeve televizive të 7 ditëve të fundit. Mund të aksesohen programet direkt duke përdorur Guidën TV ose duke shtypur shigjetat Lart dhe Poshtë në telekomandë.<br/><br/>Pranimi nuk ndikon në kapacitetin e rrjetit apo në memorie dhe është thjesht një kërkesë rregullatore.
firstInstall.automaticRecordingsMoreInfoScreen.title;;Regjistrime Automatike
firstInstall.bleRemotePairLaterScreen.description;;Për të lidhur pajisjen me telekomandën, shtyp butonin 1 dhe butonin e verdhë njëkohësisht për 5 sekonda.<br/>Nëse telekomanda është aktualisht e lidhur, shtyp 3 + butonin e verdhë për 5 sekonda që ta shkëputësh.<br/>Nëse nuk arrin të lidhësh telekomanën në këtë moment, mos u shqetëso - mund ta lidhësh më vonë dhe do të funksionojë gjithsesi kur ta drejtosh tek pajisja.
firstInstall.bleRemotePairingScreen.description;;Për të lidhur pajisjen me telekomandën, shtyp butonin 1 dhe atë të verdhë njëkohësisht për 5 sekonda.<br/>Nëse telekomanda është aktualisht e lidhur, mbaj shtypur 3 + butonin e verdhë për 5 sekonda që ta shkëputësh.
firstInstall.bleRemotePairingScreen.title;;Lidhja e telekomandës
firstInstall.bleRemotePairingSuccessScreen.description;;Pajisja Vodafone GigaTV është tashmë e lidhur me telekomandën
firstInstall.bleRemotePairingSuccessScreen.title;;Të lidhur
firstInstall.buttons.ATP;;ATP
firstInstall.buttons.I&D;;I&D
firstInstall.buttons.agree;;Pranoj
firstInstall.buttons.back;;Pas
firstInstall.buttons.deepMode;;Kursim i Lartë
firstInstall.buttons.developerMode;;Modaliteti i Zhvilluesit
firstInstall.buttons.disagree;;Nuk pranoj
firstInstall.buttons.instantMode;;Kursim i Ulët
firstInstall.buttons.manual;;Manuale
firstInstall.buttons.moreInfo;;Më tepër info
firstInstall.buttons.reset;;Rivendos
firstInstall.buttons.skipScanning;;Kapërce skanimin
firstInstall.buttons.tryAgainWithEthernet;;Provo përsëri
firstInstall.buttons.updateAndReboot;;Përditëso dhe Rindiz
firstInstall.buttons.validate;;Vlerëso
firstInstall.cheatMenuScreen.desc;;Mbivendos lokalisht parametrat e konfigurimit të pajisjes
firstInstall.cheatMenuScreen.title;;Menuja e Operacioneve
firstInstall.consent.description;;Për të pasur përvojë të personalizuar mund të zgjedhësh Pranoj ose Nuk pranoj kushtet.
firstInstall.contentSettingsScreen.automaticRecordingsAgreement.title;;Regjistron automatikisht të gjithë kanalet për të parë programet e shkuara.
firstInstall.contentSettingsScreen.recommendationsAgreement.title;;Shfaq rekomandimet për filma dhe seriale që nuk duhet t'i humbësh.
firstInstall.contentSettingsScreen.title;;Cilësimet e Përmbajtjes
firstInstall.firmwareUpdateScreen.desc;;Instalo përditësimet e disponueshme të softuerit. Pajisja do të rindizet automatikisht pasi të jetë përditësuar.
firstInstall.firmwareUpdateScreen.title;;Përditësime
firstInstall.irRfRemotePairLaterScreen.description;;Për të lidhur pajisjen me telekomandën, mbaj shtypur butonin 1 dhe butonin e verdhë njëkohësisht për 5 sekonda.<br/>Nëse telekomanda është aktualisht e lidhur, mbaj shtypur 3 + butonin e verdhë për 5 sekonda që ta shkëputësh.<br/>Nëse nuk arrin të lidhësh telekomandën në këtë moment, mos u shqetëso - mund ta lidhësh më vonë dhe do të funksionojë gjithsesi kur ta drejtosh tek pajisja.
firstInstall.irRfRemotePairingScreen.description;;Për të lidhur telekomandën me pajisjen Vodafone GigaTV, shtyp butonin 1 dhe butonin e verdhë njëkohësisht për 5 sekonda.
firstInstall.irRfRemotePairingScreen.title;;Lidhja e telekomandës
firstInstall.irRfRemotePairingSuccessScreen.description;;Pajisja Vodafone GigaTV është tashmë e lidhur me telekomandën
firstInstall.irRfRemotePairingSuccessScreen.title;;Të lidhur
firstInstall.powerSaving.description;;Nëse do të përdorësh Zërin apo të luash muzikë nga Bluetooth apo Spotify në Standby ky opsion duhe të jetë i FIKUR. <br><br> Përndryshe do të jesh në gjendje për ta bërë këtë vetëm për një kohë të shkurtër pas fikjes së pajisjes. <br><br> Kjo mund të ndryshohet te Cilësimet e pajisjes TV më vonë.
firstInstall.powerSaving.title;;Kursim Energjie
firstInstall.powerSaving.turnOff;;Fik
firstInstall.powerSaving.turnOn;;Ndiz
firstInstall.progressbar.complete.label;;Skanimi i kanaleve përfundoi
firstInstall.progressbar.label;;Skanimi i kanaleve në vazhdim %1%
firstInstall.recommendationsMoreInfoScreen.description;;Filma dhe seriale TV që duhet të shohësh<br/><br/>Mos i humb programet e personalizuara në bazë të atyre që ke parë apo regjistruar më parë. Kliko OK ose shko tek Cilësimet dhe përzgjidh Rekomandimet e Aktivizuara.<br/><br/>Mund ta fikësh në çdo kohë.
firstInstall.recommendationsMoreInfoScreen.title;;Rekomandime
firstInstall.recoverPwdScreen.description;;Skano kodin QR me pajisjen celulare për të rimarrë apo ndryshuar fjalëkalimin tënd.
firstInstall.recoverPwdScreen.subtitle;;Skano Kodin QR
firstInstall.recoverPwdScreen.title;;Rivendosja e Fjalëkalimit të Vodafone GigaTV
firstInstall.scanSummaryScreen.description.fail;;Nuk u gjet asnjë kanal.<br/>Rivendos kabllin dhe provo përsëri ose shko në vodafone.al/vodafone-tv
firstInstall.scanSummaryScreen.description.fail.OTTOnly;;Nuk u gjetën kanale. Kontrollo lidhjen e rrjetit dhe provo përsëri.
firstInstall.scanSummaryScreen.description.fail.cable;;Na vjen keq, nuk u gjet asnjë kanal. Kontrollo që kablli të jetë i lidhur dhe provo përsëri.
firstInstall.scanSummaryScreen.description.fail.ftth;;Na vjen keq, nuk u gjet asnjë kanal. Kontrollo nëse kablli është i lidhur si duhet dhe provo përsëri.
firstInstall.scanSummaryScreen.description.partial;;<div class='halfSummary'>Falas<div class='channelsSummary'><div>%1 TV</div><div>%2 Radio</div></div></div><div class='halfSummary'>Internet<div class='channelsSummary'>%3 TV</div></div></div>Skanimi i kanaleve u ndërpre. Rivendos kabllin dhe skano përsëri. 
firstInstall.scanSummaryScreen.description.partial.cable;;<div class='halfSummary'>Kabëll<div class='channelsSummary'><div>%1 TV</div><div>%2 Radio</div></div></div><div class='halfSummary'>Internet<div class='channelsSummary'>%3 TV</div></div></div>Nëse dëshiron mund të kontrollosh lidhjen me kabllin dhe të provosh përsëri.
firstInstall.scanSummaryScreen.description.partial.ftth;;<div class='halfSummary'>IP<div class='channelsSummary'><div>%1 TV</div><div>%2 Radio</div></div></div><div class='halfSummary'>Internet<div class='channelsSummary'>%3 TV</div></div></div>Nëse dëshiron, kontrollo lidhjen e kabllit dhe provo përsëri.
firstInstall.scanSummaryScreen.description.success;;Skanimi i kanaleve përfundoi.<br/>U gjetën kanalet e mëposhtme:<br/><div class='halfSummary'>Falas<div class='channelsSummary'><div>%1 TV</div><div>%2 Radio</div></div></div><div class='halfSummary'>Internet<div class='channelsSummary'>%3 TV</div></div></div>
firstInstall.scanSummaryScreen.description.success.OTTOnly;;Skanimi i kanaleve përfundoi.<br/>U gjetën kanalet e mëposhtme:<br/><div class='halfSummary'>Internet<div class='channelsSummary'>%1 TV</div></div></div>
firstInstall.scanSummaryScreen.description.success.cable;;Kërkimi i kanaleve përfundoi.<br/>Kanale të gjetura:<br/><div class='halfSummary'>Kabell<div class='channelsSummary'><div>%1 TV</div><div>%2 Radio</div></div></div><div class='halfSummary'>Internet<div class='channelsSummary'>%3 TV</div></div></div>
firstInstall.scanSummaryScreen.description.success.ftth;;Kërkimi i kanaleve përfundoi.<br/>Kanalet e gjetura:<br/><div class='halfSummary'>IP<div class='channelsSummary'><div>%1 TV</div><div>%2 Radio</div></div></div><div class='halfSummary'>Internet<div class='channelsSummary'>%3 TV</div></div></div>
firstInstall.standbyModeSelectionScreen.desc;;Zgjidh një modalitet për kursimin e energjisë<br><br>Kursim i Ulët do të thotë që pajisja ndizet më shpejt (por kursen më pak energji)<br><br>Kursim i Lartë do të thotë një kohë më të gjatë ndezjeje (por kursen më shumë energji)
firstInstall.standbyModeSelectionScreen.title;;Modaliteti Standby
firstInstall.startChannelsScanScreen.description.cable;;Po fillon kërkimi për kanale TV. Sigurohu që kablli të jetë i lidhur.
firstInstall.startChannelsScanScreen.description.ftth;;Skanimi i kanaleve gjeti kanalet TV dhe Radio<br/> të disponueshme në zonën tënde.
firstInstall.unpairRfRemoteScreen.description;;Shtyp dhe mbaj të shtypur butonin e verdhë dhe 3 për të lidhur telekomandën.
firstInstall.wifiBandwidthStateScreen.buttons.retry;;Riprovo
firstInstall.wifiNetworkErrorScreen.wirelessConnectionError;;Nuk ishte e mundur krijimi i lidhjes wi-fi, të lutem provo përsëri.
firstInstall.wifiNetworkSelector.wps;;Opsioni WPS
firstInstall.wiredNetworkScreen.noInternet;;SC115: Pajisja Vodafone GigaTV nuk mund të lidhet me serverin për momentin. <br/> Provo përsëri më vonë ose kontakto shërbimin e klientit.
folder.bundle.includes;;Përfshin
folder.button.confirm;;Konfirmo
folder.button.selfcare.subscribe;;Abonohu
folder.button.subscribe;;Abonohu %1/muaj
folder.button.subscribed;;Abonuar
folder.channelGrid.title;;Kanalet nga %1
folder.subscriptionType.app;;Abonimi i aplikacionit
folder.subscriptionType.individualLinearChannel;;Abonimi i kanalit
folder.subscriptionType.pack;;Paketa e Abonimit
ftu.welcome.scanQR.button.description;;Nëse tashmë ke Vodafone TV në celularin tënd, zgjidh këtë opsion për të përdorur kamerën dhe për t'u identifikuar më shpejt.
ftu.welcome.signUp.buttonText;;Regjistrohu
gdpr.consent;;Pëlqimi
gdpr.notice;;Njoftimi
gdpr.privacy;;Privatësia
gdpr.privacy.consent.ads.description;;Për të marrë reklama të personalizuara, duhet të jesh dakord me këtë pëlqim.
gdpr.privacy.consent.confirmation;;Duke mos u pajtuar, do të humbësh rekomandimet dhe veçoritë e tjera shtesë që japin përvojën më të mirë të Vodafone TV. <br/> A je i sigurt që do të vazhdosh apo do të kthehesh për të ndryshuar zgjedhjen tënde?
gdpr.privacy.consent.description;;Për të përdorur rekomandimet, duhet të pajtohesh me këtë përmbajtje.
gdpr.privacy.consent.kids.description;;Për të pasur një përvojë të plotë të aplikacionit për Fëmijë, duhet të pajtohesh me këtë pëlqim.
gdpr.privacy.consent.title;;Pëlqimi për privatësinë
gdpr.privacy.default.notice;;...
gdpr.privacy.notice.description;;Për të përdorur këtë aplikacion duhet të pranosh këtë njoftim.
gdpr.privacy.notice.title;;Njoftimi i Privatësisë
gdpr.privacy.settings.agree;;Pranoj
gdpr.privacy.settings.agreed;;Pranuar
gdpr.privacy.settings.agreedAll;;Pranoj të gjitha
gdpr.privacy.settings.consent.description;;Për të përdorur rekomandimet duhet të japësh aprovimin tënd.
gdpr.privacy.settings.description;;Mund ta kthesh zgjedhjen tënde duke zgjedhur
gdpr.privacy.settings.disagree;;Nuk pranoj
gdpr.privacy.settings.disagreedAll;;Nuk pranoj asnjë
gdpr.privacy.settings.notAgreed;;Jo Pranuar
gdpr.privacy.settings.notice.description;;Për të përdorur këtë aplikacion duhet të pranosh këtë njoftim.
gdpr.privacy.thirdPartyConsent.description;; Pëlqimi i Privatësisë për Palën e Tretë 
gdpr.privacy.thirdPartyConsent.title;;Pëlqimi i Privatësisë për Palën e Tretë
hpvr.countdown.shortSeconds;;%1 sekonda
hpvr.dismiss;;Mbylle
hpvr.formatDisk;;Formato Diskun
hpvr.hdd.connected;;Driveri lokal u lidh
hpvr.hdd.eject.popup.title;;Do të duhet të rilidhësh diskun lokal për të parë regjistrimet lokale
hpvr.hdd.ongoing.eject.popup.title;;Me shkëputjen e diskut lokal, do të humbësh regjistrim(et) lokale
hpvr.hdd.recognized;;Driveri lokal u njoh
hpvr.hddFormat.popup.subtitle;;Mund të duhet të formatosh këtë disk, nëse zgjedh ta bësh këtë, gjithçka e ruajtur në të do të fshihet
hpvr.hddFormat.popup.title;;Disku lokal nuk mund të lidhet
hpvr.hddFormatFailed.popup.subtitle;;Mund të provosh të formatosh përsëri diskun lokal. Nëse gabimi vazhdon, të lutem kontakto shërbimin e klientit.
hpvr.hddFormatFailed.popup.title;;Ndodhi një gabim gjatë formatimit të diskut lokal.
hpvr.hddFormatting.popup.subtitle;;Disku lokal është duke u formatuar
hpvr.hddFormatting.popup.title;;Disku lokal është duke u formatuar
hpvr.hddFormattingDone.popup.subtitle;;Për të përdorur diskun lokal për regjistrime, do të duhet të rindezësh pajisjen.
hpvr.hddFormattingDone.popup.title;;Disku lokal u formatua me sukses.
hpvr.hddNotRecognize.popup.subtitle;;Të lutem sigurohu që ke lidhur Vodafone TV me diskun lokal
hpvr.hddNotRecognize.popup.title;;Disku lokal nuk njihet
hpvr.hddPlugged.popup.subtitle;;Për të përdorur diskun lokal për regjistrim, do të duhet të rindezësh pajisjen. <br> <br> Pajisja jote do të rindizet automatikisht
hpvr.hddPlugged.popup.title;;Disku lokal i lidhur
hpvr.newHddPlug;;Disku lokal është i lidhur
hpvr.recording.cancelled;;Regjistrimi u anullua
hpvr.recording.channelNotFound;;Regjistrimi nuk mund të fillojë sepse kanali nuk u gjet
hpvr.recording.completed;;Regjistrimi u përfundua me sukses
hpvr.recording.deleted;;Regjistrimi u fshi
hpvr.recording.hddBufferOverflow;;Regjistrimi nuk mund të përfundojë për shkak të mbingarkesës së HDD -së
hpvr.recording.noCASSessionAvailable;;Regjistrimi nuk mund të përfundojë për shkak të mungesës së Sesioneve CAS të disponueshme
hpvr.recording.noEntitlement;;Regjistrimi nuk mund të përfundojë për shkak të mungesës së të drejtës për këtë përmbajtje
hpvr.recording.noHDD;;Regjistrimi nuk mund të përfundojë për shkak se disku është hequr
hpvr.recording.noHDDSpace;;Regjistrimi nuk mund të përfundojë për shkak të mungesës së hapësirës ruajtëse në disk
hpvr.recording.noHDDWritable;;Regjistrimi nuk mund të përfundojë për shkak të një gabimi të papërcaktuar gjatë shkrimit në disk
hpvr.recording.noSignal;;Regjistrimi nuk mund të përfundojë për shkak të humbjes së sinjalit
hpvr.recording.noTunersAvailable;;Regjistrimi nuk do të mund të përfundojë për shkak të mungesës së sintonizuesëve në dispozicion
hpvr.recording.ongoing;;Regjistrimi tashmë ka filluar
hpvr.recording.partiallyCompleted;;Regjistrimi filloi por u ndërpre nga sistemi
hpvr.recording.scheduled;;Regjistrimi u planifikua me sukses
hpvr.restartLater;;Rindiz më vonë
hpvr.restartNow;;Rindiz Tani
hpvr.subtitle.hddDisconnectedInformations;;Duhet të rilidhësh diskun lokal për të parë regjistrimet lokale
hpvr.subtitle.localQuotaLimitReached;;U arrit kufiri i kuotës lokale
hpvr.title.formattingStorage;;Disku u formatua.
hpvr.title.hddDisconnected;;Disku lokal është shkëputur
hpvr.title.localQuotaLimitReached;;U arrit kufiri i kuotës lokale
hybridPvrNotification.lowStorageForRecord;;Të lutem shko te MyTV/Regjistrime dhe fshi disa regjistrime për të liruar hapësirën ruajtëse
hybridPvrNotification.rescheduledRecording;;Regjistrime të riskeduluara
hybridPvrNotification.rescheduledTo;;%1 <br>në %2
improvedRec.cancelEpisodes.selectEpisodes;;Zgjidh Episodet për t'i anulluar
improvedRec.deleteEpisodes.selectEpisodes;;Zgjidh Episodet për të fshirë
improvedRec.deleteProtectedRecording.subtitle;;Ky është një regjistrim i mbrojtur. Vazhdo me fshirjen?
improvedRec.deleteProtectedRecording.title;;Fshi regjistrimin e mbrojtur?
improvedRec.deleteProtectedRecordings.subtitle;;Ka %1 regjistrime të mbrojtura në përzgjedhjen tënde. Dëshiron të vazhdosh me fshirjen?
improvedRec.deleteProtectedRecordings.title;;Fshi regjistrimet e mbrojtura?
improvedRec.episodeCancelledAndChooseOption.subtitle;;Dëshiron të anullosh më shumë episode apo të gjithë serinë?
improvedRec.episodeCancelledAndChooseOption.title;;Episodi u anullua me sukses.
improvedRec.episodeDeletedAndChooseOption.subtitle;;Dëshiron të fshish më shumë episode apo të gjithë Serinë?
improvedRec.episodeDeletedAndChooseOption.title;;Episodi u fshi me sukses. 
improvedRec.filters.all;;Të gjitha regjistrimet
improvedRec.filters.genre.othersInfos;;"Regjistrimet e mëparshme pa një kategori zhanri do të paraqiten nën ""Të tjera"""
improvedRec.filters.genre.rail.allMovies;;Të gjithë Filmat
improvedRec.filters.genre.rail.allTvShows;;Të gjitha Shfaqjet televizive
improvedRec.filters.scheduledRecordings;;Regjistrimet e programuara
improvedRec.infos.cloudPercentage;;% 1% e mbetur nga hapësira në Cloud
improvedRec.infos.localPercentage;;% 1% e mbetur nga hapësira lokale
improvedRec.infos.recordings;;%1 Regjistrime
improvedRec.infos.selectedOf;;%1 nga %2 e zgjedhur
improvedRec.infos.simplePercentage;;%1% e mbetur nga hapësira
improvedRec.infos.updated.recordings;;%1 regjistrime të përditësuara...
improvedRec.manage.noItemSelected.cancelDescription;;Duhet të zgjedhësh të paktën një aset në mënyrë që të kryesh këtë veprim anullimi.
improvedRec.manage.noItemSelected.description;;Duhet të zgjedhësh të paktën një aset për të kryer këtë veprim fshirjeje.
improvedRec.manage.noItemSelected.title;;Nuk ka asete të zgjedhura
improvedRec.manage.protectedDescription;;Të mbrojtura me sukses %1 regjistrime
improvedRec.manage.protectedTitle;;Të mbrojtura
improvedRec.manage.unprotectedDescription;;Me sukses %1 regjistrime të pambrojtura
improvedRec.manage.unprotectedTitle;;Menaxho regjistrimet e pambrojtura
improvedRec.manageProtect.chooseBothRecordings;;Për të vazhduar, duhet të fshish %1 regjistrime lokale dhe %2 regjistrime në cloud.
improvedRec.manageProtect.chooseCloudRecordings;;Për të vazhduar, duhet të fshish %1 regjistrimet e mbrojtura në cloud.
improvedRec.manageProtect.chooseLocalRecordings;;Për të vazhduar, duhet të zgjedhësh të mos mbrosh %1 regjistrimet lokale.
improvedRec.manageProtect.chooseUnprotect;;"""Po përpiqesh të mbrosh një total prej %1 regjistrimesh dhe mund të mbrosh vetëm %2"""
improvedRec.manageProtect.exceedProtected;;Shumë regjistrime të mbrojtura
improvedRec.manageProtect.maxAndLeftRecordings;;Po përpiqesh të mbrosh një total prej %1 regjistrimesh dhe mund të mbrosh vetëm %2
improvedRec.manageProtect.maxAndLeftRecordingsBoth;;Po përpiqesh të mbrosh %1 regjistrime në cloud dhe %2 regjistrime lokale por mund të mbrosh vetëm %3 të secilës
improvedRec.manageProtect.maxAndLeftRecordingsCloud;;Po përpiqesh të ruash %1 regjistrime në cloud, por mund të ruash vetëm %2
improvedRec.manageProtect.maxAndLeftRecordingsLocal;;Po përpiqesh të mbrosh një total prej %1 regjistrimesh lokale dhe mund të mbrosh vetëm %2
improvedRec.manageProtect.maximumBothProtected;;Mund të mbrosh maksimalisht %1 regjistrime Cloud dhe lokale
improvedRec.manageProtect.maximumCloudProtected;;Mund të mbrosh maksimalisht %1 regjistrime Cloud
improvedRec.manageProtect.maximumLocalProtected;;Mund të mbrosh vetëm një maksimum prej %1 regjistrimeve lokale
improvedRec.manageProtect.maximumProtected;;Më tepër regjistrime të mbrojtura në cloud sesa lejohet.
improvedRec.manageProtect.selectUnprotect;;Zgjidh Mos Mbro për të konfirmuar këtë zgjedhje.
improvedRec.manageProtect.title;;Menaxho regjistrimet e mbrojtura
improvedRec.notification.cancelRecordings.description;;U anulluan me sukses %1 episode
improvedRec.notification.cancelRecordings.title;;Regjistrimet e Anulluara
improvedRec.notification.deleteRecordings.description;;U fshinë me sukses %1 episode
improvedRec.notification.deleteRecordings.title;;Regjistrimet e fshira
improvedRec.option.cancel;;Anullo
improvedRec.option.cancelAll;;Anullo të gjitha
improvedRec.option.cancelSeries;;Anullo seritë
improvedRec.option.delete;;Fshi
improvedRec.option.deleteAll;;Fshi të gjitha
improvedRec.option.deleteSeries;;Fshi seritë
improvedRec.option.deleteUnprotect;;Fshi të pambrojturat
improvedRec.option.deselectSeason;;Hiq nga zgjedhja sezonin %1
improvedRec.option.manage;;Menaxho
improvedRec.option.protect;;Mbro
improvedRec.option.selectSeason;;Zgjidh Sezonin %1
improvedRec.option.selectSingleEpisodes;;Zgjidh episodet
improvedRec.option.showProtected;;Shfaq regjistrimet e mbrojtura
improvedRec.option.unprotect;;Hiq mbrojtjen
improvedRec.seriesSelected.subtitle;;Dëshiron të zgjedhësh të gjithë serinë apo episode individuale?
improvedRec.seriesSelected.title;;Seritë e zgjedhura
improvedRec.userAgreement.subtitle;;Je i sigurt?
improvedRec.userAgreementForSeries.title;;Fshi Seritë?
improvedRec.userAgreementForUnprotected.title;;Fshi të gjitha Episodet e pambrojtura?
improvedRecordings.cloud.leftSpace;;Kanë mbetur vetëm <b>% 1% të regjistrimeve në Cloud </b>.
improvedRecordings.local.leftSpace;;Të ka mbetur vetëm <b>% 1% të regjistrimeve lokale </b>.
improvedRecordings.scheduled.recordingClashes;;Regjistrimi i Përplasjeve
improvedRecordings.scheduled.seriesRecordings;;Regjistrimet e Serive
improvedRecordings.scheduled.singleRecordings;;Regjistrime të vetme
jpn;;jpn
keyboard.search.otherPlaceholderText;;Shtyp <div class='microIcon'></div> për të përdorur kërkimin zanor
kids.PIN.turnOff;;Fik
kids.PIN.turnOn;;Ndiz
kids.accept.consent;;Për të dhënë pëlqimin
kids.accept.notice;;Për të pranuar njoftimin
kids.actors;;Aktorët
kids.agreed;;Pajtohem
kids.back;;Pas
kids.bedtime.turnedOnFrom;;Aktivizuar nga %1 në %2
kids.cancel;;Anullo
kids.characters;;Personazhet
kids.common.continue;;Vazhdo
kids.countdown.cancel;;Anullo
kids.countdown.change;;Ndrysho
kids.countdown.changeTimerSettings;;Për të vendosur kohëmatësin
kids.countdown.clearCountdown;;Fshi kohëmatësin
kids.countdown.overrideBedtime;;Konfirmo anullimin e orarit të gjumit të %1. <br/> Orari i gjumit të %2 është për %3 orë dhe %4 minuta.
kids.countdown.shortSeconds;;%1 SEK
kids.countdown.startCountdown;;Fillo kohëmatësin
kids.countdown.updateCountdown;;Përditëso kohëmatësin
kids.countdown.useBedtimeLimit;;Përdor orarin e gjumit
kids.disagreed;;Nuk pajtohem
kids.exit;;Dil
kids.explanatoryCard.subtitle.text;;Asnjë shfaqje!
kids.explanatoryCard.title.text;;Uh Oh!
kids.ftusettings.ageSelection.setBirthday;;Vendos ditëlindjen
kids.ftusettings.ageSelection.title;;Përzgjidh moshën
kids.ftusettings.birthdaySelection.description;;Vendos ditëlindjen për të përditësuar këtë profil automatikisht për moshën e duhur.<br/>Mund ta shikosh këtë më vonë nëse do tek Cilësimet.
kids.ftusettings.birthdaySelection.set;;Vendos
kids.ftusettings.birthdaySelection.title;;Vendos ditëlindjen
kids.ftusettings.buttons.agree;;Pranoj
kids.ftusettings.buttons.disagree;;Nuk pranoj
kids.ftusettings.buttons.getStarted;;Fillo
kids.ftusettings.buttons.watchAgain;;Shiko përsëri
kids.ftusettings.changeBirthday.title;;Ndrysho Ditëlindjen
kids.ftusettings.changeCharacter.title;;Ndrysho Personazhin
kids.ftusettings.changeNickname.title;;Ndrysho Pseudonimin
kids.ftusettings.characterSelection.title;;Zgjidh një karakter
kids.ftusettings.nicknameEntry.emptyName;;Duhet të përfshihet të paktën një shkronjë
kids.ftusettings.nicknameEntry.maximumReached;;Lejohen vetëm 10 shkronja
kids.ftusettings.nicknameEntry.title;;Vendos pseudonimin
kids.gdpr.privacy.consent.confirmation;;Duke mos u pajtuar, do të humbësh rekomandimet dhe veçoritë e tjera shtesë që japin përvojën më të mirë të Vodafone TV. <br/> A je i sigurt që do të vazhdosh apo do të kthehesh për të ndryshuar zgjedhjen?
kids.gdpr.privacy.consent.subtitle;;Për të përdorur rekomandimet, duhet të pajtohesh përsëri me këtë pëlqim.
kids.gdpr.privacy.consent.subtitle.part2;;Kjo zgjedhje prek të gjitha profilet.
kids.gdpr.privacy.consent.title;;Pëlqimi për privatësinë
kids.gdpr.privacy.default.consent;;....
kids.gdpr.privacy.default.notice;;....
kids.gdpr.privacy.notice.title;;Njoftimi i privatësisë
kids.languages.turnedOff;;Fikur
kids.languages.turnedOn;;Ndezur
kids.menu;;Menu
kids.menu.episode;;Episodi
kids.menu.season;;Sezoni
kids.notForKids.changeChannel;;Ndrysho kanalin për të gjetur më shumë programacion për fëmijë ose kthehu te menuja
kids.notForKids.showNotForKids;;Kjo shfaqje nuk është për fëmijë
kids.notification.incorrect.configuration.description;;Rruga drejt aplikacionit nuk është e disponueshme
kids.notification.network.offline.subtitle;;Ndodhi një gabim në rrjet
kids.notification.network.offline.title;;Gabim i rrjetit
kids.notification.noContent.message;;Nuk ka përmbajtje të disponueshme
kids.notification.noContent.subtitle;;Nuk ka përmbajtje për fëmijë
kids.notification.noContent.title;;Nuk ka përmbajtje
kids.notification.player.error.subtitle;;Ndodhi një gabim i Player-it
kids.notification.player.error.title;;Gabim i Player-it
kids.pinEntry.accessProfile;;Për të aksesuar profilin
kids.pinEntry.approveProfile;;Për të miratuar profilin
kids.pinEntry.deleteProfile;;Për të fshirë profilin e %1
kids.pinEntry.enterSettings;;Për të vendosur cilësimet
kids.pinEntry.exit;;Për të dalë nga Kids Mode
kids.pinEntry.help.defaultPin;;PIN-i kryesor i paracaktuar është 0000.
kids.pinEntry.help.details;;Kur është aktiv, PIN-i kryesor përdoret për të verifikuar porositë<br/>dhe pagesat dhe për të kryer disa ndryshime tek cilësimet.<br/><br/><br/>PIN-i kryesor përdoret gjithashtu për të ndryshuar<br/>cilësimet e kontrollit prindëror (nëse zgjedh t'i aktivizosh).<br/><br/><br/>Nëse harron PIN-in, mund ta rivendosësh online në Vodafone.com/masterPIN.
kids.pinEntry.help.whats;;Çfarë është një PIN kryesor?
kids.pinEntry.title;;Të lutem vendos PIN
kids.player.back;;Pas
kids.player.info;;Informacion
kids.player.retry;;Provo përsëri
kids.player.setCountdown;;Vendos kohëmatësin
kids.playerError;;Ndodhi një gabim i Player-it
kids.profileSelection.addProfile;;Shto profil
kids.profileSelection.aged;;Mosha %1
kids.profileSelection.bedtimeStartedSince;;Orari i gjumit filloi %1 më parë
kids.profileSelection.bedtimeStartedSince.atLeastTwoHours;;Orari i gjumit filloi %1 orë më parë
kids.profileSelection.bedtimeStartedSince.betweenOneHourAndTwoHours;;Orari i gjumit filloi 1 orë dhe %1 minutë(a) më parë
kids.profileSelection.bedtimeStartedSince.lessThanOneHour;;Orari i gjumit filloi %1 minutë(a) më parë
kids.profileSelection.countdownFinishedSince;;Koha mbaroi %1 më parë
kids.profileSelection.settings;;Cilësimet
