key;en-GROUP;cs-CZ-x-CZ text
firstInstall.automaticRecordingsMoreInfoScreen.title;;Automatické nahrávky
firstInstall.bleRemotePairLaterScreen.description;;Chcete-li spárovat televizor a dálkový ovladač, podržte současně tlačítko 3 a žluté tlačítko po dobu 5 sekund.<br/>Je-li váš ovladač již spárován, podržte současně tlačítko 3 a žluté tlačítko po dobu 5 sekund, tím se spárování zruší.<br/>Nemůžete-li dálkový ovladač spárovat, nevadí – můžete jej spárovat později. Do té doby bude fungovat, když jej namíříte na Box.
firstInstall.bleRemotePairingScreen.description;;Chcete-li spárovat televizor a dálkový ovladač, podržte současně tlačítko 3 a žluté tlačítko po dobu 5 sekund.<br/>Je-li váš ovladač již spárován, podržte současně tlačítko 3 a žluté tlačítko po dobu 5 sekund, tím se spárování zruší.
firstInstall.bleRemotePairingScreen.title;;Párování dálkového ovladače
firstInstall.bleRemotePairingSuccessScreen.description;;TV Box je nyní spárován s dálkovým ovladačem
firstInstall.bleRemotePairingSuccessScreen.title;;Spárováno
firstInstall.buttons.ATP;;ATP
firstInstall.buttons.I&D;;I&D
firstInstall.buttons.agree;;Souhlasím
firstInstall.buttons.back;;Zpět
firstInstall.buttons.deepMode;;Režim vysoké úspory
firstInstall.buttons.developerMode;;Mód pro vývojáře
firstInstall.buttons.disagree;;Nesouhlasím
firstInstall.buttons.instantMode;;Režim nízké úspory
firstInstall.buttons.manual;;Manuální
firstInstall.buttons.moreInfo;;Více informací
firstInstall.buttons.reset;;Resetovat
firstInstall.buttons.skipScanning;;Přeskočit vyhledávání
firstInstall.buttons.tryAgainWithEthernet;;Zkusit znovu
firstInstall.buttons.updateAndReboot;;Aktualizovat a restartovat
firstInstall.buttons.validate;;Ověřit
firstInstall.cheatMenuScreen.desc;;Lokálně předělá konfigurační parametry set-top boxu
firstInstall.cheatMenuScreen.title;;Provozní nabídka
firstInstall.consent.description;;Abyste měli personalizované sledování, můžete Souhlasit nebo Nesouhlasit s podmínkami.
firstInstall.contentSettingsScreen.automaticRecordingsAgreement.title;;Automaticky zaznamenává všechny kanály pro sledování programů v minulosti.
firstInstall.contentSettingsScreen.recommendationsAgreement.title;;Zobrazit doporučení filmů a pořadů, které si nesmíte nechat ujít.
firstInstall.contentSettingsScreen.title;;Nastavení obsahu
firstInstall.firmwareUpdateScreen.desc;;Nainstalujte prosím dostupné aktualizace softwaru. Po aktualizaci se vaše zařízení automaticky restartuje.
firstInstall.firmwareUpdateScreen.title;;Aktualizace
firstInstall.irRfRemotePairLaterScreen.description;;Chcete-li spárovat televizor a dálkový ovladač, podržte současně tlačítko 3 a žluté tlačítko po dobu 5 sekund.<br/>Je-li váš ovladač již spárován, podržte současně tlačítko 3 a žluté tlačítko po dobu 5 sekund, tím se spárování zruší.<br/>Nemůžete-li dálkový ovladač spárovat, nevadí – můžete jej spárovat později. Do té doby bude fungovat, když jej namíříte na Box.
firstInstall.irRfRemotePairingScreen.description;;Chcete-li spárovat televizor a dálkový ovladač, podržte současně tlačítko 3 a žluté tlačítko po dobu 5 sekund.
firstInstall.irRfRemotePairingScreen.title;;Párování dálkového ovladače
firstInstall.irRfRemotePairingSuccessScreen.description;;TV Box je nyní spárován s dálkovým ovladačem
firstInstall.irRfRemotePairingSuccessScreen.title;;Spárováno
firstInstall.powerSaving.description;;Pokud chcete používat Hlasové ovládání nebo přehrávat hudbu přes Bluetooth v pohotovostním režimu, tato volba musí být VYPNUTA. <br><br> Jinak bude tato funkcionalita dostupná pouze chvilku po vypnutí zařízení. <br><br> Tuto možnost můžete později změnit v nastavení TV boxu.
firstInstall.powerSaving.title;;Úsporný režim
firstInstall.powerSaving.turnOff;;Vypnout
firstInstall.powerSaving.turnOn;;Zapnout
firstInstall.progressbar.complete.label;;Vyhledávání kanálů dokončeno
firstInstall.progressbar.label;;Probíhá vyhledávání kanálů %1%
firstInstall.recommendationsMoreInfoScreen.description;;Filmy a televizní pořady, které musíte vidět<br/><br/>Nenechte si ujít programy vybrané přímo pro vás na základě programů, které jste sledovali, nahrávali nebo půjčovali v minulosti. „Doporučení“ zapnete stisknutím OK nebo v sekci „Nastavení“. <br/> <br/>Lze je kdykoli vypnout.
firstInstall.recommendationsMoreInfoScreen.title;;Doporučení
firstInstall.recoverPwdScreen.description;;Naskenujte tento QR-kód svým telefonem pro obnovu či změnu vašeho hesla.
firstInstall.recoverPwdScreen.subtitle;;Skenovat QR-kód
firstInstall.recoverPwdScreen.title;;Obnova hesla Vodafone TV
firstInstall.scanSummaryScreen.description.fail;;Nebyly nalezeny žádné kanály. <br/>Znovu zapojte koaxiální kabel a postup zopakujte nebo navštivte www.vodafone.cz/vypadky.
firstInstall.scanSummaryScreen.description.fail.OTTOnly;;Nebyly nalezeny žádné kanály. Zkontrolujte síťové připojení a zkuste to znovu.
firstInstall.scanSummaryScreen.description.fail.cable;;Omlouváme se, nebyly nalezeny žádné kanály. Zkontrolujte, zda je kabel správně připojen a zkuste to znovu.
firstInstall.scanSummaryScreen.description.fail.ftth;;Omlouváme se, nebyly nalezeny žádné kanály. Zkontrolujte, zda je kabel správně připojen, a zkuste to znovu.
firstInstall.scanSummaryScreen.description.partial;;<div class='halfSummary'>Volně dostupné kanály<div class='channelsSummary'><div>%1 TV</div><div>%2 Radio</div></div></div><div class='halfSummary'>Internet<div class='channelsSummary'>%3 TV</div></div></div>Scan kanálů přerušen. Vložte koaxiální kabel a opakujte akci.
firstInstall.scanSummaryScreen.description.partial.cable;;<div class='halfSummary'>Cable<div class='channelsSummary'><div>%1 TV</div><div>%2 Radio</div></div></div><div class='halfSummary'>Internet<div class='channelsSummary'>%3 TV</div></div></div>Pokud chcete, můžete zkontrolovat připojení kabelu a zkusit to znovu.
firstInstall.scanSummaryScreen.description.partial.ftth;;<div class='halfSummary'>Cable<div class='channelsSummary'><div>%1 TV</div><div>%2 Radio</div></div></div><div class='halfSummary'>Internet<div class='channelsSummary'>%3 TV</div></div></div>Pokud chcete, můžete zkontrolovat připojení kabelu a zkusit to znovu.
firstInstall.scanSummaryScreen.description.success;;Scan byl dokončen.<br/>Byly nalezeny následující kanály:<br/><div class='halfSummary'>Volně dostupné<div class='channelsSummary'><div>%1 TV</div><div>%2 Radio</div></div></div><div class='halfSummary'>Internet<div class='channelsSummary'>%3 TV</div></div></div>
firstInstall.scanSummaryScreen.description.success.OTTOnly;;Vyhledávání kanálů dokončeno.<br/>Byly nalezeny následující kanály:<br/><div class='halfSummary'>Internet<div class='channelsSummary'>%1 TV</div></div></div>
firstInstall.scanSummaryScreen.description.success.cable;;Vyhledávání kanálů dokončeno. <br/>Nalezené kanály:<br/><div class='halfSummary'>Cable<div class='channelsSummary'><div>%1 TV</div><div>%2 Radio</div></div></div><div class='halfSummary'>Internet<div class='channelsSummary'>%3 TV</div></div></div>
firstInstall.scanSummaryScreen.description.success.ftth;;Vyhledávání kanálů dokončeno. <br/>Nalezené kanály:<br/><div class='halfSummary'>Cable<div class='channelsSummary'><div>%1 TV</div><div>%2 Radio</div></div></div><div class='halfSummary'>Internet<div class='channelsSummary'>%3 TV</div></div></div>
firstInstall.standbyModeSelectionScreen.desc;;Zvolte úsporný režim<br><br>Nízká úspora znamená, že váš Box se bude spouštět rychleji (ale spotřebuje více energie)<br><br>Vysoká úspora znamená delší čas spuštění (ale nižší spotřebu energie)
firstInstall.standbyModeSelectionScreen.title;;Pohotovostní režim
firstInstall.startChannelsScanScreen.description.cable;;Začneme hledat televizní kanály. Ujistěte se, že je kabel připojen.
firstInstall.startChannelsScanScreen.description.ftth;;Vyhledávač kanálů vyhledává dostupné TV a rozhlasové<br/> kanály.
firstInstall.unpairRfRemoteScreen.description;;Zmáčkněte a podržte žluté tlačítko spolu s tlačítkem 3, abyste spárovali ovladač.
firstInstall.wifiBandwidthStateScreen.buttons.retry;;Zkusit znovu
firstInstall.wifiNetworkErrorScreen.wirelessConnectionError;;Připojení WI-FI se nepodařilo navázat, zkuste to prosím později.
firstInstall.wifiNetworkSelector.wps;;Možnost WPS
firstInstall.wiredNetworkScreen.noInternet;;SC115: Váš TV Box se momentálně nemůže připojit na server.<br/>Zkuste to prosím později nebo navštivte www.vodafone.cz/vypadky.
folder.bundle.includes;;Zahrnuje
folder.button.confirm;;Potvrdit
folder.button.selfcare.subscribe;;Předplatit
folder.button.subscribe;;Přeplatit %1 / měsíc
folder.button.subscribed;;Předplaceno
folder.channelGrid.title;;Kanály z %1
folder.subscriptionType.app;;Předplatné aplikace
folder.subscriptionType.individualLinearChannel;;Předplatné kanálu
folder.subscriptionType.pack;;Balíček předplatného
ftu.welcome.scanQR.button.description;;Pokud již máte v mobilu službu Vodafone TV, vyberte tuto možnost, abyste mohli používat fotoaparát a rychleji se přihlásit.
ftu.welcome.signUp.buttonText;;Zaregistrujte se
gdpr.consent;;Akceptuji
gdpr.notice;;Oznámení
gdpr.privacy;;Soukromí
gdpr.privacy.consent.ads.description;;Abyste dostávali personalizované reklamy, musíte dát souhlas.
gdpr.privacy.consent.confirmation;;"Pokud souhlas neposkytnete, přijdete o ""Doporučení"" a další speciální funkce, které vám pomohou si Vodafone TV co nejvíce užít. <br/>Opravdu chcete pokračovat v nastavení, nebo chcete jít zpět a svou volbu změnit?""Doporučení"""
gdpr.privacy.consent.description;;Chcete-li využívat doporučení, musíte udělit souhlas.
gdpr.privacy.consent.kids.description;;Chcete-li naplno využívat dětskou aplikaci, musíte udělit souhlas.
gdpr.privacy.consent.title;;"Aktivace ""Doporučení"""
gdpr.privacy.default.notice;;Mělo by se jednat o základní text oznámení (verze 0): <br/> <br/>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aenean sagittis dignissim metus nec scelerisque. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nullam vulputate tempus risus, vel dignissim leo sodales id. Morbi eu arcu ligula. Suspendisse sed leo placerat, cursus ligula ac, consequat leo. Vestibulum vehicula vel dolor ut consequat. Curabitur vel justo justo. Vestibulum urna quam, fringilla in elit mollis, porta vestibulum odio. Vestibulum pretium dolor pharetra, euismod odio at, dictum felis. Curabitur pulvinar imperdiet ornare. Vivamus ac venenatis nulla, vel scelerisque quam. Maecenas venenatis ultrices felis et hendrerit. Nunc magna orci, suscipit a justo dictum, ornare consectetur tortor. Ut lobortis fermentum rutrum.<br/><br/>Nullam enim lacus, consequat et purus id, hendrerit faucibus massa. Sed tempor, mauris sed faucibus sodales, risus lorem tempus dolor, eget posuere dolor eros a tortor. Sed vestibulum eros eu ornare dignissim. Fusce tristique lectus mattis metus feugiat, sed dignissim dui pharetra. Cras diam turpis, finibus sed lorem ac, interdum ullamcorper massa. Ut tempus suscipit leo, at gravida metus pretium ac. Sed vestibulum vulputate turpis, vitae auctor nulla sagittis non. Cras vitae quam nec nisi imperdiet dictum in at arcu. Morbi in tempor massa. Duis efficitur nec magna et cursus. Ut ultrices, felis id dictum posuere, tortor felis fermentum urna, eu porta orci massa ut mi. Sed ut aliquam diam, a tristique ligula.<br/><br/>Aliquam justo sapien, egestas sed feugiat a, dignissim non justo. Ut vitae neque vel magna efficitur consectetur. Sed rhoncus neque euismod arcu varius, sed rutrum ex ullamcorper. Aenean lacus nisl, interdum vitae efficitur quis, facilisis id nunc. Nulla hendrerit dignissim orci. Curabitur fringilla, dui nec gravida vestibulum, ex ligula finibus ipsum, et malesuada ante est id ligula. Suspendisse vitae diam quam. Duis quis cursus orci, id hendrerit magna. Maecenas lacus sem, lobortis quis massa non, ornare condimentum lectus. Nam vitae sagittis diam. Suspendisse potenti.<br/><br/>Quisque vitae posuere metus. Etiam cursus nisl eleifend erat placerat gravida. Donec id nibh sem. Integer maximus sapien et ex malesuada posuere. Vestibulum interdum ex elementum volutpat feugiat. Suspendisse nec tincidunt libero. Phasellus fermentum posuere mauris, in faucibus libero malesuada quis. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Interdum et malesuada fames ac ante ipsum primis in faucibus. Suspendisse at finibus ligula.<br/><br/>Pellentesque euismod urna sed ante ultrices, sed dapibus nisi porta. Mauris faucibus tempus rutrum. Aliquam placerat, risus vitae rutrum faucibus, lectus lectus bibendum libero, eu iaculis metus massa in libero. Nulla at leo semper, euismod augue id, tempor turpis. Nulla viverra, tellus ut porttitor laoreet, arcu tortor faucibus ipsum, et condimentum nibh felis sed eros. Duis pretium arcu ligula, vitae accumsan metus pretium a. Praesent tellus tortor, interdum quis massa ut, tincidunt vehicula lectus.
gdpr.privacy.notice.description;;Chcete-li aplikaci používat, musíte s tímto oznámením souhlasit.
gdpr.privacy.notice.title;;Informace ke zpracování osobních údajů
gdpr.privacy.settings.agree;;Souhlasím
gdpr.privacy.settings.agreed;;Potvrzeno
gdpr.privacy.settings.agreedAll;;Souhlasím
gdpr.privacy.settings.consent.description;;"Chcete-li využívat ""Doporučení"", musíte udělit souhlas."
gdpr.privacy.settings.description;;Svou volbu můžete změnit
gdpr.privacy.settings.disagree;;Nesouhlasím
gdpr.privacy.settings.disagreedAll;;Nesouhlasím
gdpr.privacy.settings.notAgreed;;Nepotvrzeno
gdpr.privacy.settings.notice.description;;Chcete-li aplikaci používat, musíte s tímto oznámením souhlasit.
gdpr.privacy.thirdPartyConsent.description;;
gdpr.privacy.thirdPartyConsent.title;;Ochrana soukromí a osobních údajů u třetích stran
hpvr.countdown.shortSeconds;;%1 vteřiny
hpvr.dismiss;;Zamítnout
hpvr.formatDisk;;Formátovat disk
hpvr.hdd.connected;;Připojen místní disk
hpvr.hdd.eject.popup.title;;Musíte znovuzapojit svůj lokální disk, abyste mohli sledovat místní nahrávky.
hpvr.hdd.ongoing.eject.popup.title;;Jakmile odpojíte svůj lokální disk, ztratíte všechny probíhající lokální nahrávky.
hpvr.hdd.recognized;;Místní disk rozpoznán
hpvr.hddFormat.popup.subtitle;;Pokud se rozhodnete provést tuto operaci, bude pravděpodobně nutné tuto jednotku naformátovat
hpvr.hddFormat.popup.title;;Tento lokální disk nelze připojit
hpvr.hddFormatFailed.popup.subtitle;;Můžete se pokusit lokální disk znovu zformátovat. Pokud chyba přetrvává, kontaktujte prosím zákaznickou péči.
hpvr.hddFormatFailed.popup.title;;Při formátování lokálního disku došlo k chybě.
hpvr.hddFormatting.popup.subtitle;;
hpvr.hddFormatting.popup.title;;Váš lokální disk se formátuje
hpvr.hddFormattingDone.popup.subtitle;;Abyste mohli svůj lokální disk používat pro nahrávky, budete muset set-top box restartovat.
hpvr.hddFormattingDone.popup.title;;Váš lokální disk byl úspěšně zformátován.
hpvr.hddNotRecognize.popup.subtitle;;Zkontrolujte, zda jste připojili Vodafone TV lokální disk
hpvr.hddNotRecognize.popup.title;;Lokální disk není rozpoznán
hpvr.hddPlugged.popup.subtitle;;Chcete-li použít místní disk pro nahrávání, je třeba restartovat zařízení Set Top Box. /n/n Váš Set-Top Box se automaticky restartuje za
hpvr.hddPlugged.popup.title;;Připojený lokální disk
hpvr.newHddPlug;;Lokální disk je připojen
hpvr.recording.cancelled;;Nahrávání zrušeno
hpvr.recording.channelNotFound;;Nahrávání nelze spustit, protože kanál nebyl nalezen
hpvr.recording.completed;;Nahrávání bylo úspěšně dokončeno
hpvr.recording.deleted;;Nahrávání smazáno
hpvr.recording.hddBufferOverflow;;Záznam nemohl být dokončen kvůli přetečení vyrovnávací paměti místního disku
hpvr.recording.noCASSessionAvailable;;Záznam nemohl být dokončen kvůli nedostupnosti CAS relací
hpvr.recording.noEntitlement;;Záznam nemohl být dokončen z důvodu scházejícího oprávnění k obsahu
hpvr.recording.noHDD;;Nahrávání nemohlo být dokončeno, protože pevný disk byl odstraněn
hpvr.recording.noHDDSpace;;Záznam nemohl být dokončen kvůli nedostatku volného místa na pevném disku
hpvr.recording.noHDDWritable;;Nahrávání nemohlo být dokončeno z důvodu chyby při zápisu na pevný disk
hpvr.recording.noSignal;;Nahrávání nemohlo být dokončeno z důvodu ztráty signálu
hpvr.recording.noTunersAvailable;;Nahrávání nemohlo být dokončeno kvůli nedostupnosti TV tunerů
hpvr.recording.ongoing;;Nahrávání již začalo
hpvr.recording.partiallyCompleted;;Nahrávání začalo, ale bylo přerušeno
hpvr.recording.scheduled;;Nahrávání úspěšně nastaveno
hpvr.restartLater;;Restartovat později
hpvr.restartNow;;Restartovat nyní
hpvr.subtitle.hddDisconnectedInformations;;Pro sledování nahrávek z lokálního disku, jej znovu připojte
hpvr.subtitle.localQuotaLimitReached;;Kapacita lokálního disku dosažena
hpvr.title.formattingStorage;;Pevný disk byl zformátován.
hpvr.title.hddDisconnected;;Lokální disk je odpojen
hpvr.title.localQuotaLimitReached;;Kapacita lokálního disku dosažena
hybridPvrNotification.lowStorageForRecord;;Přejděte na stránku Moje TV / Nahrávky a odstraňte některé nahrávky, abyste uvolnili úložiště
hybridPvrNotification.rescheduledRecording;;Přeplánované nahrávání
hybridPvrNotification.rescheduledTo;;od 1% do %2
improvedRec.cancelEpisodes.selectEpisodes;;Vyberte epizodu, u které chcete zrušit nahrávání
improvedRec.deleteEpisodes.selectEpisodes;;Vyberte díly ke smazání
improvedRec.deleteProtectedRecording.subtitle;;Toto je chráněná nahrávka. Chcete ji přesto smazat?
improvedRec.deleteProtectedRecording.title;;Smazat chráněnou nahrávku?
improvedRec.deleteProtectedRecordings.subtitle;;Ve vašem výběru jsou chráněné nahrávky. Chcete je smazat?
improvedRec.deleteProtectedRecordings.title;;Smazat chráněné nahrávky?
improvedRec.episodeCancelledAndChooseOption.subtitle;;Chcete zrušit nahrávání dalších dílů nebo celého seriálu?
improvedRec.episodeCancelledAndChooseOption.title;;Nahrávání dílu bylo úspěšně zrušeno.
improvedRec.episodeDeletedAndChooseOption.subtitle;;Chcete odstranit více dílů nebo celý seriál?
improvedRec.episodeDeletedAndChooseOption.title;;Díl byl úspěšně smazán. 
improvedRec.filters.all;;Vše
improvedRec.filters.genre.othersInfos;;"Nahrávky bez žánru budou k zobrazení v ""Ostatní"""
improvedRec.filters.genre.rail.allMovies;;Všechny filmy
improvedRec.filters.genre.rail.allTvShows;;Všechny seriály
improvedRec.filters.scheduledRecordings;;Plánované nahrávky
improvedRec.infos.cloudPercentage;;zbývá %1% volného prostoru ve vzdáleném úložišti
improvedRec.infos.localPercentage;;zbývá %1% volného prostoru v lokálním úložišti
improvedRec.infos.recordings;;%1 nahrávek
improvedRec.infos.selectedOf;;%1 z %2 vybraný
improvedRec.infos.simplePercentage;;Zbývá %1% místa
improvedRec.infos.updated.recordings;;%1 aktualizovaných nahrávek...
improvedRec.manage.noItemSelected.cancelDescription;;Musíte vybrat alespoň jeden titul, abyste mohli dokončit tento krok.
improvedRec.manage.noItemSelected.description;;Musíte vybrat alespoň jeden titul, abyste mohli dokončit tento krok.
improvedRec.manage.noItemSelected.title;;Nebyl vybrán žádný titul
improvedRec.manage.protectedDescription;;Ochrana u %1 nahrávek byla úspěšně nastavena
improvedRec.manage.protectedTitle;;Chráněné
improvedRec.manage.unprotectedDescription;;Úspěšně zrušeno chránění u %1 nahrávek
improvedRec.manage.unprotectedTitle;;Spravovat chráněné nahrávky
improvedRec.manageProtect.chooseBothRecordings;;Chcete-li pokračovat, musíte zrušit chránění u %1 lokálních nahrávek a %2 u síťových nahrávek.
improvedRec.manageProtect.chooseCloudRecordings;;Chcete-li pokračovat, musíte zrušit % 1 chráněných záznamů.
improvedRec.manageProtect.chooseLocalRecordings;;Chcete-li pokračovat, musíte zrušit chránění u %1 lokálních nahrávek.
improvedRec.manageProtect.chooseUnprotect;;Chcete chránit %1 nahrávek, ale můžete chránit už pouze %2 nahrávek.
improvedRec.manageProtect.exceedProtected;;Příliš mnoho chráněných
improvedRec.manageProtect.maxAndLeftRecordings;;Snažíte se ochránit celkem% 1 záznamů, můžete nastavit pouze% 2
improvedRec.manageProtect.maxAndLeftRecordingsBoth;;Snažíte se nastavit %1 chráněných nahrávek na cloudu a %2 na lokálním disku. Můžete ovšem nastavit chráněné nahrávky pouze u %3 na obou úložištích
improvedRec.manageProtect.maxAndLeftRecordingsCloud;;Snažíte se nastavit %1 chráněných nahrávek na cloudu, můžete ovšem nastavit chráněné nahrávky pouze u %2
improvedRec.manageProtect.maxAndLeftRecordingsLocal;;Snažíte se nastavit %1 chráněných nahrávek na lokálním disku, můžete ovšem nastavit chráněné nahrávky pouze u %2
improvedRec.manageProtect.maximumBothProtected;;Můžete nastavit ochranu u %1 síťových a lokálních nahrávek
improvedRec.manageProtect.maximumCloudProtected;;Můžete nastavit ochranu u %1 síťových nahrávek
improvedRec.manageProtect.maximumLocalProtected;;Můžete nastavit ochranu u %1 lokálních nahrávek
improvedRec.manageProtect.maximumProtected;;Příliš chráněných síťových nahrávek
improvedRec.manageProtect.selectUnprotect;;K potvrzení volby, zvolte Nechraněné
improvedRec.manageProtect.title;;Správa chráněných nahrávek
improvedRec.notification.cancelRecordings.description;;Úspěšně zrušeno nahrávání u %1 dílů
improvedRec.notification.cancelRecordings.title;;Zrušené nahrávání
improvedRec.notification.deleteRecordings.description;;Díly %1 úspěšně smazány
improvedRec.notification.deleteRecordings.title;;Smazané nahrávky
improvedRec.option.cancel;;Zrušit
improvedRec.option.cancelAll;;Zrušit vše
improvedRec.option.cancelSeries;;Zrušit nahrávání seriálu
improvedRec.option.delete;;Smazat
improvedRec.option.deleteAll;;Smazat vše
improvedRec.option.deleteSeries;;Smazat seriál
improvedRec.option.deleteUnprotect;;Odstranit nechráněné
improvedRec.option.deselectSeason;;Zrušte výběr %1
improvedRec.option.manage;;Spravovat
improvedRec.option.protect;;Zajistit ochranu
improvedRec.option.selectSeason;;Vyberte řadu %1
improvedRec.option.selectSingleEpisodes;;Vyberte jednotlivé díly
improvedRec.option.showProtected;;Zobrazit veškerý chráněný obsah
improvedRec.option.unprotect;;Zrušit ochranu
improvedRec.seriesSelected.subtitle;;Chcete vybrat celý seriál, nebo si vybrat jednotlivé díly?
improvedRec.seriesSelected.title;;Seriál byl vybrán
improvedRec.userAgreement.subtitle;;Jste si jistí?
improvedRec.userAgreementForSeries.title;;Smazat seriál?
improvedRec.userAgreementForUnprotected.title;;Smazat všechny nechráněné díly?
improvedRecordings.cloud.leftSpace;;Máte pouze <b>%1% místa pro nahrávky na cloud</b>.
improvedRecordings.local.leftSpace;;Máte pouze <b>%1% místa pro nahrávky na disk</b>.
improvedRecordings.scheduled.recordingClashes;;Konflikty v nahrávkách
improvedRecordings.scheduled.seriesRecordings;;Nahrávky seriálů
improvedRecordings.scheduled.singleRecordings;;Jednotlivé nahrávky
jpn;;jpn
keyboard.search.otherPlaceholderText;;Pro hlasové vyhledávání stiskněte <div class='microIcon'></div>
kids.PIN.turnOff;;VYPNOUT
kids.PIN.turnOn;;ZAPNOUT
kids.accept.consent;;Přijmout souhlas
kids.accept.notice;;Přijmout oznámení
kids.actors;;Herci
kids.agreed;;Souhlasím
kids.back;;Zpět
kids.bedtime.turnedOnFrom;;Zapnuto od %1 do %2
kids.cancel;;Zrušit
kids.characters;;Avataři
kids.common.continue;;Pokračovat
kids.countdown.cancel;;Zrušit
kids.countdown.change;;Změna
kids.countdown.changeTimerSettings;;Nastavení odpočítávání
kids.countdown.clearCountdown;;Zrušit odpočítávání
kids.countdown.overrideBedtime;;Opravdu chcete přepsat nastavení večerky pro %1? <br/> %2 má večerku za %3 hodin a %4 minut.
kids.countdown.shortSeconds;;%1 s
kids.countdown.startCountdown;;Začít odpočítávání
kids.countdown.updateCountdown;;Aktualizace odpočítávání
kids.countdown.useBedtimeLimit;;Nastavit večerku
kids.disagreed;;Nesouhlasím
kids.exit;;Exit
kids.explanatoryCard.subtitle.text;;Tohle je pro starší děti
kids.explanatoryCard.title.text;;Ne ne,
kids.ftusettings.ageSelection.setBirthday;;Nastavení narozenin
kids.ftusettings.ageSelection.title;;Nastavte svůj věk
kids.ftusettings.birthdaySelection.description;;Pokud nastavíte datum svých narozenin, bude se věk v profilu automaticky aktualizovat. <br/>Toto nastavení můžete vidět později v „Nastavení“.
kids.ftusettings.birthdaySelection.set;;Nastavit
kids.ftusettings.birthdaySelection.title;;Nastavení narozenin
kids.ftusettings.buttons.agree;;Souhlasím
kids.ftusettings.buttons.disagree;;Nesouhlasím
kids.ftusettings.buttons.getStarted;;Začínáme
kids.ftusettings.buttons.watchAgain;;Sledovat znovu
kids.ftusettings.changeBirthday.title;;Změnit datum narození
kids.ftusettings.changeCharacter.title;;Změnit avatara
kids.ftusettings.changeNickname.title;;Změnit přezdívku
kids.ftusettings.characterSelection.title;;Vyberte si avatara
kids.ftusettings.nicknameEntry.emptyName;;Musí být zadáno alespoň jedno písmeno
kids.ftusettings.nicknameEntry.maximumReached;;Nesmí přesáhnout 10 písmen
kids.ftusettings.nicknameEntry.title;;Zadejte přezdívku
kids.gdpr.privacy.consent.confirmation;;"Pokud souhlas neposkytnete, přijdete o ""Doporučení"" a další speciální funkce, které vám pomohou si Vodafone TV co nejvíce užít. <br/>Opravdu chcete pokračovat v nastavení, nebo chcete jít zpět a svou volbu změnit?"
kids.gdpr.privacy.consent.subtitle;;"Chcete-li využívat ""Doporučení"", musíte udělit souhlas."
kids.gdpr.privacy.consent.subtitle.part2;;Vaše volba ovlivňuje všechny profily.
kids.gdpr.privacy.consent.title;;"Funkce ""Doporučení"""
