key;en-GROUP;it-IT-x-IT text
firstInstall.consent.description;;Per avere esperienze personalizzate è possibile accettare o non accettare i termini.
firstInstall.contentSettingsScreen.automaticRecordingsAgreement.title;;Registrazione automatica dei programmi già andati in onda sui canali
firstInstall.contentSettingsScreen.recommendationsAgreement.title;;Abilita il motore di raccomandazione
firstInstall.contentSettingsScreen.title;;Impostazinoni contenuti
firstInstall.firmwareUpdateScreen.desc;;Installa l'aggiornamento disponibile. Il tuo Vodafone TV Box si riavvierà automaticamente una volta terminato l'aggiornamento.
firstInstall.firmwareUpdateScreen.title;;Aggiornamenti
firstInstall.irRfRemotePairLaterScreen.description;;Per associare la TV con il telecomando tieni premuti per più di 5 secondi i tasti '1' e 'Giallo'.<br/>Se il tuo telecomando è già associato, tieni premuti i tasti '3' e 'Giallo' per più di 5 secondi per disassociarlo.<br/>Se non riesci ad associare ora il tuo telecomando, puoi farlo successivamente.
firstInstall.irRfRemotePairingScreen.description;;Per associare il telecomando alla televisione, tieni premuti i tasti '1' e 'Giallo' per almeno 5 secondi.
firstInstall.irRfRemotePairingScreen.title;;Associazione telecomando
firstInstall.irRfRemotePairingSuccessScreen.description;;Il tuo TV box è ora associato al tuo telecomando
firstInstall.irRfRemotePairingSuccessScreen.title;;Ora associato
firstInstall.powerSaving.description;;
firstInstall.powerSaving.title;;Risparmio energetico
firstInstall.powerSaving.turnOff;;Disabilita
firstInstall.powerSaving.turnOn;;Abilita
firstInstall.progressbar.complete.label;;Scansione canali completata
firstInstall.progressbar.label;;Scansione canali in corso %1%
firstInstall.recommendationsMoreInfoScreen.description;;Film, serie Tv e programmi consigliati per te <br/><br/> Non perderti i contenuti suggeriti per te in base alle tue visioni. Clicca OK o vai nelle impostazioni e  abilita il motore di raccomandazione.<br/><br/> Potrai disabilitarlo quando vorrai.
firstInstall.recommendationsMoreInfoScreen.title;;Suggerimenti
firstInstall.recoverPwdScreen.description;;Scansiona questo QR-code dal tuo smartphone per recuperare o modificare la tua password
firstInstall.recoverPwdScreen.subtitle;;Scannerizza il QR Code
firstInstall.recoverPwdScreen.title;;Recupero password della Vodafone TV
firstInstall.scanSummaryScreen.description.fail;;Sintonizzazione dei canali Digitale Terrestre: assicurati che l'antenna TV sia collegata al Vodafone TV Box.
firstInstall.scanSummaryScreen.description.fail.OTTOnly;;Canali
firstInstall.scanSummaryScreen.description.fail.cable;;Non abbiamo trovato canali disponibili. Controlla che il cavo antenna sia correttamente collegato al TV Box, che il TV Box sia connesso ad Internet e riprova.
firstInstall.scanSummaryScreen.description.fail.ftth;;Fallito
firstInstall.scanSummaryScreen.description.partial;;Non tutti i canali sono stati sintonizzati. Prova a controllare l'antenna e fai una nuova sintonizzazione dei canali. <div class='halfSummary'>Digitale Terrestre<div class='channelsSummary'><div>%1 TV</div><div>%2 Radio</div></div></div><div class='halfSummary'>Canali in streaming<div class='channelsSummary'>%3 TV</div></div></div> 
firstInstall.scanSummaryScreen.description.partial.cable;; 
firstInstall.scanSummaryScreen.description.partial.ftth;;Parziale
firstInstall.scanSummaryScreen.description.success;;Goditi lo spettacolo di Vodafone TV!<br/>Puoi iniziare subito a guardare: <div class='halfSummary'>Digitale Terrestre<div class='channelsSummary'><div>%1 TV</div><div>%2 Radio</div></div></div><div class='halfSummary'>Canali in streaming<div class='channelsSummary'>%3 TV</div></div></div>
firstInstall.scanSummaryScreen.description.success.OTTOnly;;Goditi lo spettacolo di Vodafone TV!.<br/>Puoi iniziare subito a guardare:<br/><div class='halfSummary'>Canali in streaming<div class='channelsSummary'>%1 TV</div></div></div>
firstInstall.scanSummaryScreen.description.success.cable;;""
firstInstall.scanSummaryScreen.description.success.ftth;;Terminato
firstInstall.standbyModeSelectionScreen.desc;;Selezionando la modalità Accensione Rapida l'avvio della TV sarà più veloce. Con la modalità Standby risparmi energia, ma l'avvio della TV richiedrà più tempo.
firstInstall.standbyModeSelectionScreen.title;;Modalità standby
firstInstall.startChannelsScanScreen.description.cable;;A breve partirà la scansione canali. Assicurati che il cavo antenna sia correttamente collegato al TV Box e che il TV Box sia connesso ad Internet.
firstInstall.startChannelsScanScreen.description.ftth;;Trovati i canali TV e Radio<br/> disponibili nella tua zona
firstInstall.unpairRfRemoteScreen.description;;Per associare il telecomando, tieni premuti i tasti '3' e 'Giallo' contemporaneamente.
firstInstall.wifiBandwidthStateScreen.buttons.retry;;Riprova
firstInstall.wifiNetworkErrorScreen.wirelessConnectionError;;Non è stato possibile stabilire la connessione Wi-fi, riprovare.
firstInstall.wifiNetworkSelector.wps;;Opzione WPS
firstInstall.wiredNetworkScreen.noInternet;;Mancato collegamento al server. <br/>  Assicurati che la Vodafone Station sia connessa ad internet e se necessario riavvia la connessione. Premi riprova. [SC115].
folder.bundle.includes;;Incluso
folder.button.confirm;;Conferma
folder.button.selfcare.subscribe;;Sottoscrivi
folder.button.subscribe;;Attiva %1/mese
folder.button.subscribed;;Sottoscrizione attiva
folder.channelGrid.title;;Canali da %1
folder.subscriptionType.app;;Sottoscrizione
folder.subscriptionType.individualLinearChannel;;Abbonamento
folder.subscriptionType.pack;;Pacchetto in abbonamento
ftu.welcome.scanQR.button.description;;
ftu.welcome.signUp.buttonText;;
gdpr.consent;;Consenso
gdpr.notice;;Informativa
gdpr.privacy;;Privacy
gdpr.privacy.consent.ads.description;;
gdpr.privacy.consent.confirmation;;Non accettando l'abilitazione del motore di raccomandazione, alcune funzionalità non saranno attive sul tuo TV Box e non potrai godere della migliore esperienza della Vodafone TV.  <br/> Sei sicuro di voler procedere o vuoi tornare indietro alle impostazioni e cambiare la selezione?
gdpr.privacy.consent.description;;Acconsenti per abilitare il motore di raccomandazione.
gdpr.privacy.consent.kids.description;;Acconsenti per accedere a tutte le funzionalità dell'Area Kids.
gdpr.privacy.consent.title;;Consenso privacy
gdpr.privacy.default.notice;;Should be the default notice ( version 0 ):<br/><br/>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aenean sagittis dignissim metus nec scelerisque. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nullam vulputate tempus risus, vel dignissim leo sodales id. Morbi eu arcu ligula. Suspendisse sed leo placerat, cursus ligula ac, consequat leo. Vestibulum vehicula vel dolor ut consequat. Curabitur vel justo justo. Vestibulum urna quam, fringilla in elit mollis, porta vestibulum odio. Vestibulum pretium dolor pharetra, euismod odio at, dictum felis. Curabitur pulvinar imperdiet ornare. Vivamus ac venenatis nulla, vel scelerisque quam. Maecenas venenatis ultrices felis et hendrerit. Nunc magna orci, suscipit a justo dictum, ornare consectetur tortor. Ut lobortis fermentum rutrum.<br/><br/>Nullam enim lacus, consequat et purus id, hendrerit faucibus massa. Sed tempor, mauris sed faucibus sodales, risus lorem tempus dolor, eget posuere dolor eros a tortor. Sed vestibulum eros eu ornare dignissim. Fusce tristique lectus mattis metus feugiat, sed dignissim dui pharetra. Cras diam turpis, finibus sed lorem ac, interdum ullamcorper massa. Ut tempus suscipit leo, at gravida metus pretium ac. Sed vestibulum vulputate turpis, vitae auctor nulla sagittis non. Cras vitae quam nec nisi imperdiet dictum in at arcu. Morbi in tempor massa. Duis efficitur nec magna et cursus. Ut ultrices, felis id dictum posuere, tortor felis fermentum urna, eu porta orci massa ut mi. Sed ut aliquam diam, a tristique ligula.<br/><br/>Aliquam justo sapien, egestas sed feugiat a, dignissim non justo. Ut vitae neque vel magna efficitur consectetur. Sed rhoncus neque euismod arcu varius, sed rutrum ex ullamcorper. Aenean lacus nisl, interdum vitae efficitur quis, facilisis id nunc. Nulla hendrerit dignissim orci. Curabitur fringilla, dui nec gravida vestibulum, ex ligula finibus ipsum, et malesuada ante est id ligula. Suspendisse vitae diam quam. Duis quis cursus orci, id hendrerit magna. Maecenas lacus sem, lobortis quis massa non, ornare condimentum lectus. Nam vitae sagittis diam. Suspendisse potenti.<br/><br/>Quisque vitae posuere metus. Etiam cursus nisl eleifend erat placerat gravida. Donec id nibh sem. Integer maximus sapien et ex malesuada posuere. Vestibulum interdum ex elementum volutpat feugiat. Suspendisse nec tincidunt libero. Phasellus fermentum posuere mauris, in faucibus libero malesuada quis. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Interdum et malesuada fames ac ante ipsum primis in faucibus. Suspendisse at finibus ligula.<br/><br/>Pellentesque euismod urna sed ante ultrices, sed dapibus nisi porta. Mauris faucibus tempus rutrum. Aliquam placerat, risus vitae rutrum faucibus, lectus lectus bibendum libero, eu iaculis metus massa in libero. Nulla at leo semper, euismod augue id, tempor turpis. Nulla viverra, tellus ut porttitor laoreet, arcu tortor faucibus ipsum, et condimentum nibh felis sed eros. Duis pretium arcu ligula, vitae accumsan metus pretium a. Praesent tellus tortor, interdum quis massa ut, tincidunt vehicula lectus.
gdpr.privacy.notice.description;;Acconsenti a questa informativa per utilizzare quest'applicazione.
gdpr.privacy.notice.title;;Informativa privacy
gdpr.privacy.settings.agree;;Acconsento
gdpr.privacy.settings.agreed;;Acconsento
gdpr.privacy.settings.agreedAll;;Accetto
gdpr.privacy.settings.consent.description;;Acconsenti per abilitare il motore di raccomandazione.
gdpr.privacy.settings.description;;Puoi annullare la tua scelta
gdpr.privacy.settings.disagree;;Non acconsento
gdpr.privacy.settings.disagreedAll;;Non accetto
gdpr.privacy.settings.notAgreed;;Non acconsento
gdpr.privacy.settings.notice.description;;Acconsenti per utilizzare l' applicazione.
gdpr.privacy.thirdPartyConsent.description;;""
gdpr.privacy.thirdPartyConsent.title;;Consenso alla privacy di terze parti
hpvr.countdown.shortSeconds;;%1 secondi
hpvr.dismiss;;Rimuovi
hpvr.formatDisk;;Formatta il disco
hpvr.hdd.connected;;
hpvr.hdd.eject.popup.title;;Per guardare le registrazioni locali dovrai riconnettere il tuo disco locale
hpvr.hdd.ongoing.eject.popup.title;;Disconnettendo il tuo disco locale perderai le tue registrazioni locali in corso
hpvr.hdd.recognized;;
hpvr.hddFormat.popup.subtitle;;Potrebbe essere necessario formattare questo disco. Se deciderai di farlo, tutti i dati salvati sul disco verranno eliminati.
hpvr.hddFormat.popup.title;;Impossibile connettere questo disco locale
hpvr.hddFormatFailed.popup.subtitle;;Puoi provare a formattare nuovamente il disco locale. Se l'errore dovesse presentarsi nuovamente, contatta il Servizio Clienti Vodafone TV al numero 0284594650.
hpvr.hddFormatFailed.popup.title;;Errore durante la formattazione del disco locale
hpvr.hddFormatting.popup.subtitle;;hpvr.hddFormatting.popup.subtitle
hpvr.hddFormatting.popup.title;;Formattazione del disco locale in corso.
hpvr.hddFormattingDone.popup.subtitle;;Per utilizzare il disco locale per le tue registrazioni è necessario riavviare il TV Box.
hpvr.hddFormattingDone.popup.title;;Il tuo disco locale è stato formattato con successo.
hpvr.hddNotRecognize.popup.subtitle;;Assicurati che il disco locale sia connesso alla Vodafone TV
hpvr.hddNotRecognize.popup.title;;Disco locale non riconosciuto
hpvr.hddPlugged.popup.subtitle;;Per utilizzare il tuo drive locale devi riavviare il TV Box. <br><br> Il tuo TV Box si riavvierà automaticamente tra
hpvr.hddPlugged.popup.title;;Disco locale connesso
hpvr.newHddPlug;;Disco locale connesso
hpvr.recording.cancelled;;Registrazione cancellata
hpvr.recording.channelNotFound;;La registrazione non è iniziata perché non è stato possibile trovare il canale
hpvr.recording.completed;;Registrazione completata con successo
hpvr.recording.deleted;;Registrazione cancellata
hpvr.recording.hddBufferOverflow;;""
hpvr.recording.noCASSessionAvailable;;""
hpvr.recording.noEntitlement;;La registrazione non è andata a buon fine perché il contenuto non è incluso nella tua offerta
hpvr.recording.noHDD;;La registrazione non è andata a buon fine perché il disco è stato rimosso
hpvr.recording.noHDDSpace;;La registrazione non è andata a buon fine per mancanza di spazio sufficiente sul disco
hpvr.recording.noHDDWritable;;La registrazione non è andata a buon fine per un errore di scrittura sul disco
hpvr.recording.noSignal;;La registrazione non è andata a buon fine a causa di una perdita di segnale
hpvr.recording.noTunersAvailable;;""
hpvr.recording.ongoing;;Registrazione già iniziata
hpvr.recording.partiallyCompleted;;La registrazione è iniziata ma è stata interrotta dal sistema
hpvr.recording.scheduled;;Registrazione programmata con successo
hpvr.restartLater;;Riavvia più tardi
hpvr.restartNow;;Riavvia ora
hpvr.subtitle.hddDisconnectedInformations;;Per guardare le registrazioni locali devi prima riconnettere il tuo drive locale.
hpvr.subtitle.localQuotaLimitReached;;Local quota limit reached
hpvr.title.formattingStorage;;Il disco è stato formattato.
hpvr.title.hddDisconnected;;Il tuo disco locale non è connesso
hpvr.title.localQuotaLimitReached;;Local quota limit reached
hybridPvrNotification.lowStorageForRecord;;Per liberare spazio vai su My TV / Registrazioni ed elimina alcune registrazioni
hybridPvrNotification.rescheduledRecording;;Registrazione riprogrammata
hybridPvrNotification.rescheduledTo;;da %1 <br> a %2
improvedRec.cancelEpisodes.selectEpisodes;;Seleziona gli episodi da cancellare
improvedRec.deleteEpisodes.selectEpisodes;;Seleziona gli Episodi da eliminare
improvedRec.deleteProtectedRecording.subtitle;;Questa registrazione è protetta. Sei sicuro di volerla eliminare?
improvedRec.deleteProtectedRecording.title;;Eliminare la registrazione protetta?
improvedRec.deleteProtectedRecordings.subtitle;;Ci sono registrazioni protette nella tua selezione. Sei sicuro di volerle eliminare?
improvedRec.deleteProtectedRecordings.title;;Eliminare le registrazioni protette?
improvedRec.episodeCancelledAndChooseOption.subtitle;;Vuoi cancellare altri episodi o l'intera serie?
improvedRec.episodeCancelledAndChooseOption.title;;Episodio cancellato con successo.
improvedRec.episodeDeletedAndChooseOption.subtitle;;Vuoi eliminare altri episodi o l'intera serie?
improvedRec.episodeDeletedAndChooseOption.title;;Episodio eliminato con successo. 
improvedRec.filters.all;;Tutte le registrazioni
improvedRec.filters.genre.othersInfos;;"Le registrazioni cui non corrisponde un genere specifico saranno mostrate nella categoria ""Altro""."
improvedRec.filters.genre.rail.allMovies;;Tutti i film
improvedRec.filters.genre.rail.allTvShows;;Tutti i programmi TV
improvedRec.filters.scheduledRecordings;;Registrazioni programmate
improvedRec.infos.cloudPercentage;;%1% di spazio sul cloud residuo
improvedRec.infos.localPercentage;;%1% di spazio locale residuo
improvedRec.infos.recordings;;%1 Registrazioni
improvedRec.infos.selectedOf;;Selezionato %1 di %2
improvedRec.infos.simplePercentage;;%1% di spazio residuo
improvedRec.infos.updated.recordings;;%1 registrazioni aggiornate...
improvedRec.manage.noItemSelected.cancelDescription;;Devi selezionare almeno un elemento per poter eseguire questa azione.
improvedRec.manage.noItemSelected.description;;Devi selezionare almeno un elemento per poter eseguire questa azione.
improvedRec.manage.noItemSelected.title;;Nessun elemento selezionato
improvedRec.manage.protectedDescription;;%1 registrazioni protette con successo
improvedRec.manage.protectedTitle;;Protetto
improvedRec.manage.unprotectedDescription;;Protezione eliminata per %1 registrazioni
improvedRec.manage.unprotectedTitle;;Gestisci le registrazioni protette
improvedRec.manageProtect.chooseBothRecordings;;Per continuare devi prima rimuovere la protezione da %1 registrazioni locali e da %2 registrazioni sul cloud.
improvedRec.manageProtect.chooseCloudRecordings;;Per continuare devi prima rimuovere la protezione da %1 registrazioni sul cloud.
improvedRec.manageProtect.chooseLocalRecordings;;Per continuare devi prima rimuovere la protezione da %1 registrazioni locali.
improvedRec.manageProtect.chooseUnprotect;;
improvedRec.manageProtect.exceedProtected;;Troppe registrazioni protette
improvedRec.manageProtect.maxAndLeftRecordings;;Stai cercando di proteggere un totale di %1 registrazioni ma puoi proteggerne al massimo %2.
improvedRec.manageProtect.maxAndLeftRecordingsBoth;;Stai cercando di proteggere un totale di %1 registrazioni sul cloud e %2 registrazioni locali ma puoi proteggerne al massimo %2 di entrambe.
improvedRec.manageProtect.maxAndLeftRecordingsCloud;;Stai cercando di proteggere un totale di %1 registrazioni sul cloud ma puoi proteggerne al massimo %2.
improvedRec.manageProtect.maxAndLeftRecordingsLocal;;Stai cercando di proteggere un totale di %1 registrazioni locali ma puoi proteggerne al massimo %2.
improvedRec.manageProtect.maximumBothProtected;;Puoi proteggere un massimo di %1 registrazioni locali e sul cloud.
improvedRec.manageProtect.maximumCloudProtected;;Puoi proteggere un massimo di %1 registrazioni sul cloud.
improvedRec.manageProtect.maximumLocalProtected;;Puoi proteggere un massimo di %1 registrazioni locali.
improvedRec.manageProtect.maximumProtected;;Troppe registrazioni protette sul cloud.
improvedRec.manageProtect.selectUnprotect;;"Seleziona ""Rimuovi Protezione"" per confermare la tua scelta."
improvedRec.manageProtect.title;;Gestisci le registrazioni protette
improvedRec.notification.cancelRecordings.description;;%1 episodi cancellati con successo.
improvedRec.notification.cancelRecordings.title;;Registrazioni cancellate
improvedRec.notification.deleteRecordings.description;;%1 episodi eliminati con successo
improvedRec.notification.deleteRecordings.title;;Registrazioni eliminate
improvedRec.option.cancel;;Cancella
improvedRec.option.cancelAll;;Cancella tutto
improvedRec.option.cancelSeries;;Cancella la serie
improvedRec.option.delete;;Cancella
improvedRec.option.deleteAll;;Elimina tutto
improvedRec.option.deleteSeries;;Elimina serie
improvedRec.option.deleteUnprotect;;Elimina registrazioni non protette
improvedRec.option.deselectSeason;;Deseleziona Stagione %1
improvedRec.option.manage;;Gestisci
improvedRec.option.protect;;Proteggi
improvedRec.option.selectSeason;;Seleziona Stagione %1
improvedRec.option.selectSingleEpisodes;;Scegli gli episodi
improvedRec.option.showProtected;;Mostra le registrazioni protette
improvedRec.option.unprotect;;Rimuovi protezione
improvedRec.seriesSelected.subtitle;;Vuoi selezionare l'intera serie o scegliere singoli episodi?
improvedRec.seriesSelected.title;;Serie selezionata
improvedRec.userAgreement.subtitle;;Sei sicuro?
improvedRec.userAgreementForSeries.title;;Eliminare la serie?
improvedRec.userAgreementForUnprotected.title;;Eliminare tutti gli episodi non protetti?
improvedRecordings.cloud.leftSpace;;Ti rimangono <b>%1% registrazioni sul cloud</b>
improvedRecordings.local.leftSpace;;Ti rimangono <b>%1% registrazioni locali</b>
improvedRecordings.scheduled.recordingClashes;;Registrazioni in conflitto
improvedRecordings.scheduled.seriesRecordings;;Serie registrate
improvedRecordings.scheduled.singleRecordings;;Registrazioni singole
jpn;;
keyboard.search.otherPlaceholderText;;Premi <div class='microIcon'></div> per usare la ricerca vocale
kids.PIN.turnOff;;Spegni
kids.PIN.turnOn;;Accendi
kids.accept.consent;;Accetta
kids.accept.notice;;Per accettare l'informativa
kids.actors;;Attori
kids.agreed;;Accettato
kids.back;;Indietro
kids.bedtime.turnedOnFrom;;Attiva dalle %1 alle %2
kids.cancel;;Annulla
kids.characters;;Tag
kids.common.continue;;Continua
kids.countdown.cancel;;Cancella
kids.countdown.change;;Modifica
kids.countdown.changeTimerSettings;;Imposta il limite conto alla rovescia
kids.countdown.clearCountdown;;Resetta conto alla rovescia
kids.countdown.overrideBedtime;;Sei sicuro di voler modificare il limite orario  %1? <br/>%2 Al momento è impostato su %3 ore e %4 minuti.
kids.countdown.shortSeconds;;%1 sec
kids.countdown.startCountdown;;Inizia il conto alla rovescia
kids.countdown.updateCountdown;;Aggiorna il conto alla rovescia
kids.countdown.useBedtimeLimit;;Attiva il limite orario di utilizzo
kids.disagreed;;Non accettato
kids.exit;;Esci
kids.explanatoryCard.subtitle.text;;Errore
kids.explanatoryCard.title.text;;Uh Oh!
kids.ftusettings.ageSelection.setBirthday;;Seleziona il tuo compleanno
kids.ftusettings.ageSelection.title;;Seleziona la tua età
kids.ftusettings.birthdaySelection.description;;Inserisci la data del tuo compleanno per aggiornare automaticamente l'età nel tuo profilo.<br/> Accedi alle impostazioni per vedere la modifica.
kids.ftusettings.birthdaySelection.set;;Ok
kids.ftusettings.birthdaySelection.title;;Seleziona il tuo compleanno
kids.ftusettings.buttons.agree;;Accetto
kids.ftusettings.buttons.disagree;;Non accetto
kids.ftusettings.buttons.getStarted;;Inizia
kids.ftusettings.buttons.watchAgain;;Guarda di nuovo
kids.ftusettings.changeBirthday.title;;Modifica il compleanno
kids.ftusettings.changeCharacter.title;;Cambia l'avatar
kids.ftusettings.changeNickname.title;;Modifica il nickname
kids.ftusettings.characterSelection.title;;Scegli un avatar
kids.ftusettings.nicknameEntry.emptyName;;Devi inserire almeno una lettera
kids.ftusettings.nicknameEntry.maximumReached;;Massimo 10 lettere consentite
kids.ftusettings.nicknameEntry.title;;Inserisci il tuo nickname
kids.gdpr.privacy.consent.confirmation;;Non accettando l'abilitazione del motore di raccomandazione, alcune funzionalità non saranno attive sul tuo TV Box e non potrai godere della migliore esperienza della Vodafone TV. <br/> Sei sicuro di voler procedere o vuoi tornare indietro alle impostazioni e cambiare la selezione?
kids.gdpr.privacy.consent.subtitle;;Accetta per utilizzare il motore di raccomandazione
kids.gdpr.privacy.consent.subtitle.part2;;La tua selezione sarà applicata a tutti i profili
kids.gdpr.privacy.consent.title;;Consenso privacy
kids.gdpr.privacy.default.consent;;Fornendo il consenso, ci autorizzi a raccogliere le informazioni legate al tuo utilizzo di Vodafone TV (fra cui i tempi della tua connessione a Vodafone TV, quali programmi guardi, le funzionalità che usi, i tuoi contenuti preferiti) con finalità di profilazione per poterti offrire un’esperienza personalizzata grazie al motore di raccomandazione. Se non ci autorizzi verranno raccolte solo informazioni tecniche per il miglioramento dell’utilizzo della piattaforma e per consentire attività di assistenza tecnica. In questo caso il motore di raccomandazione verrà disabilitato e non potrai utilizzare funzionalità come l’Area Kids, i Consigliati per te e il Continua a guardare.
kids.gdpr.privacy.default.notice;;Tutti i dati personali da te forniti in fase di adesione a Vodafone TV o successivamente acquisiti durante l’utilizzo del Servizio saranno trattati da Vodafone in conformità con la norma vigente e con quanto indicato nell’Informativa Privacy relativa al contratto per il Servizio ADSL o Fibra e di connettività Wireless. Tale informativa è sempre disponibile sul sito vodafone.it, Sezione Privacy Policy, raggiungibile dalla home page.
kids.gdpr.privacy.notice.title;;Informativa privacy
kids.languages.turnedOff;;Disabilitato
kids.languages.turnedOn;;Abilitato
kids.menu;;Menu
kids.menu.episode;;Episodio
kids.menu.season;;Stagione
kids.notForKids.changeChannel;;Cambia canale per scoprire nuovi contenuti o torna indietro al menu principale
kids.notForKids.showNotForKids;;Questo programma non è per bambini
kids.notification.incorrect.configuration.description;;
kids.notification.network.offline.subtitle;;Si è verificato un errore di connessione
kids.notification.network.offline.title;;Errore di connessione
kids.notification.noContent.message;;Nessun contenuto disponibile
kids.notification.noContent.subtitle;;Nessun contenuto per bambini
kids.notification.noContent.title;;Nessun contenuto
kids.notification.player.error.subtitle;;Si è verificato un errore del player
kids.notification.player.error.title;;Errore player
kids.pinEntry.accessProfile;;Accedi al profilo
kids.pinEntry.approveProfile;;Approva profilo
kids.pinEntry.deleteProfile;;Per cancellare il profilo di %1
kids.pinEntry.enterSettings;;Entra nelle impostazioni
kids.pinEntry.exit;;Uscita Area Kids
kids.pinEntry.help.defaultPin;;Il PIN iniziale è 0000.
kids.pinEntry.help.details;;Se attivo, il PIN serve per verificare i tuoi acquisti <br/> e pagamenti e per cambiare le impostazioni.<br/><br/><br/> Il PIN serve anche a cambiare il livello della protezione bambino <br/> dalle impostazioni (se decidi di attivarlo). <br/><br/><br/> Se hai dimenticato il tuo PIN, puoi andare nell'area Fai da te di Vodafone.it e richierderlo nuovamente,
kids.pinEntry.help.whats;;Cos'è il PIN?
kids.pinEntry.title;;Per favore inserisci il tuo PIN
kids.player.back;;Indietro
kids.player.info;;Info
kids.player.retry;;Riprova
kids.player.setCountdown;;Imposta conto alla rovescia
kids.playerError;;Si è verificato un errore del player
kids.profileSelection.addProfile;;Aggiungi profilo
kids.profileSelection.aged;;Età %1
kids.profileSelection.bedtimeStartedSince;;L'ora della nanna è iniziata %1 fa.
kids.profileSelection.bedtimeStartedSince.atLeastTwoHours;;L'ora della nanna è iniziata %1 ore fa
kids.profileSelection.bedtimeStartedSince.betweenOneHourAndTwoHours;;L'ora della nanna è iniziata 1 ora e %1 minuti fa
kids.profileSelection.bedtimeStartedSince.lessThanOneHour;;L'ora della nanna è iniziata %1 minuti fa
kids.profileSelection.countdownFinishedSince;;Conto alla rovescia terminato %1 fa.
kids.profileSelection.settings;;Impostazioni
kids.profileSelection.unconfirmed;;Non confermato
kids.profiles;;Profili
kids.programInfo.audioDescription;;Descrizione audio
kids.programInfo.language;;Lingua
kids.programInfo.subtitles;;Sottotitoli
kids.settings;;Impostazioni protezione bambino
kids.settings.bedtime;;Ora della nanna
kids.settings.bedtime.from;;Dalle
kids.settings.bedtime.setBedtime;;Imposta l'ora per andare a nanna
kids.settings.bedtime.setTime;;Imposta l'ora
kids.settings.bedtime.to;;Alle
kids.settings.changeAge;;Modifica l'età
kids.settings.changeAvatar;;Cambia l'avatar
kids.settings.changeName;;Modifica il nickname
kids.settings.content.preferredLanguage;;Lingua preferita
kids.settings.contentSettings;;Impostazioni contenuti
kids.settings.delete;;Cancella
kids.settings.deleteProfile;;Cancella il profilo
kids.settings.editProfile;;Modifica il profilo
kids.settings.help;;Aiuto
kids.settings.pinRequest;;Richiesta del PIN
kids.settings.privacy;;Privacy
kids.settings.showVideos;;Vedi il tutorial
kids.settings.subtitle.askForPin;;Chiedi il PIN
kids.settings.subtitle.deleteProfile.part1;;Sei sicuro di
kids.settings.subtitle.deleteProfile.part2;;voler cancellare il profilo di %1 ?
kids.settings.timeManagement;;Limite orario
kids.tick.dontShowAgain;;Non mostrarlo più
kids.timeOver.addMoreTime;;Aggiungi più tempo
kids.timeOver.exit;;Esci dall'Area Kids
kids.timeOver.takeABreak;;È ora di fare una pausa
kids.timeOver.wakeup;;Wake up
kids.turnOff;;Disabilita
kids.turnOn;;Abilita
kids.turnedOff;;Spento
kids.turnedOn;;Acceso
kids.update.gdpr.privacy.consent.subtitle;;Accetta i termini e condizioni per utilizzare il motore di raccomandazione.
kids.update.gdpr.privacy.consent.subtitle.part2;;La tua selezione sarà applicata a tutti i profili
kids.update.gdpr.privacy.consent.title;;Consenso privacy aggiornato
kids.update.gdpr.privacy.notice.subtitle;;Per continuare ad utilizzare l'Area Kids,  leggi e seleziona Continua
kids.update.gdpr.privacy.notice.title;;Informativa privacy aggiornata
language.afr;;Afrikaans
language.ang;;Inglese antico (ca. 450–1100)
language.ara;;Arabo
language.auto;;Automatico
language.ces;;Ceco
language.chi;;Cinese
language.dan;;Danese
language.de-DE;;Tedesco (DE)
language.dut;;Olandese
language.ell;;Greco
language.en-GB;;Inglese (GB)
language.en-US;;Inglese (US)
language.es-ES;;Spagnolo (ES)
language.fas;;Persiano
language.fin;;Finlandese
language.grc;;greco
language.gsw;;Svizzero Tedesco
language.heb;;Ebraico
language.hin;;Hindi
language.hun;;Ungherese
language.isl;;Islandese
language.it-IT;;Italiano (IT)
language.jap;;Giapponese
language.jpn;;Giapponese
language.kaz;;Kazako
language.kor;;Koreano
language.lav;;Lettone
language.mao;;Maori
language.mri;;Maori
language.mul;;Multilingua
language.nld;;Olandese
language.nor;;Norvegese
language.per;;Persiano
language.pol;;Polacco
language.por;;Portoghese
language.prt;;Portoghese
language.pt-BR;;Portoghese (BR)
language.pt-PT;;Portoghese (PT)
language.qaa;;Lingua originale
language.ron;;Rumeno
language.rus;;Russo
language.slk;;Slovacco
language.slv;;Sloveno
language.sqi;;Albanese
language.ukr;;Ucraino
language.zho;;Cinese
mainMenu.kids;;Area Kids
mainMenu.mediaLibrary;;Media Library
mainMenu.onTv.title;;In onda ora
mainMenu.recordings;;Registrazioni
mainMenu.topBar.search;;Cerca film, attori, serie...
mainMenu.tvGuide.subscribeNow;;Attiva ora
mainMenu.tvGuide.watch;;Guarda
maintenance.description;;TV Box sta ottimizzando la tua esperienza. Questo potrebbe richiedere alcuni minuti. Non spegnere o disconnettere il Box fino al completamento.
maintenance.title;;Aggiornamenti in corso
miniProgramInfo.showMore;;Mostra più informazioni
myApps.Shortcut.Add;;Aggiungi a Le mie app
myApps.Shortcut.Manage;;Gestisci
