key;en-GROUP;de-DE-x-DE text
explanatoryCard.ondemand.recommendationsOptIn;;Hier findest Du Deine persönlichen Empfehlungen, die GigaTV aus Deinen angesehenen, aufgenommenen oder ausgeliehenen Inhalten zusammenstellt. Drücke auf OK, um Empfehlungen zu aktivieren
explanatoryCard.ondemand.title;;Empfehlungen für die Videothek
explanatoryCard.quota.autoDelete;;Dein Speicherplatz für Aufnahmen ist gering. Die Automatisch Löschen-Funktion beginnt mit der nächsten Aufnahme
explanatoryCard.quota.title;;Mehr Speicherplatz kaufen
explanatoryCard.railTitle.mytv.external.myTVRecommendations;;Deine Filme und Serien
explanatoryCard.railTitle.mytv.purchasesAndRentals;;Bezahlte Inhalte
explanatoryCard.railTitle.mytv.recommendations;;Filme und Serien, die dir gefallen könnten
explanatoryCard.railTitle.mytv.recordings;;Aufnahmen
explanatoryCard.railTitle.mytv.rentals;;Bezahlte Inhalte
explanatoryCard.railTitle.mytv.scheduledRecordings;;Geplante Aufnahmen
explanatoryCard.railTitle.mytv.watchnext;;Weiter ansehen
explanatoryCard.railTitle.mytv.wishlist;;Merkliste
explanatoryCard.related.recommendationsOptIn;;Hier findest Du Deine persönlichen Empfehlungen, die GigaTV aus Deinen angesehenen, aufgenommenen oder ausgeliehenen Inhalten zusammenstellt. Drücke auf OK, um Empfehlungen zu aktivieren
explanatoryCard.related.title;;Noch mehr
explanatoryCard.search.recommendationsOptIn;;Hier findest Du Deine persönlichen Empfehlungen, die GigaTV aus Deinen angesehenen, aufgenommenen oder ausgeliehenen Inhalten zusammenstellt. Drücke auf OK, um Empfehlungen zu aktivieren
explanatoryCard.search.title;;Ergebnisse sortiert nach Relevanz
explanatoryCard.switchOn;;Aktivieren
fastZap.barker.countdown;;App öffnet in<br/><div>%1 Sekunden</div>
fastZap.upNext;;Demnächst
firstInstall.automaticRecordingsMoreInfoScreen.description;;Eines der Highlights von GigaTV ist die Verfügbarkeit des Fernsehprogramms der letzten 7 Tage. Die Mediatheken-Inhalte erreichst Du über den TV Guide oder indem Du auf die HINAUF- und HINUNTER-Pfeile auf der Fernbedienung drückst.<br/><br/>Die Zustimmung ist ein rein regulatorischer Schritt und hat keinen Einfluss auf Deinen Datenverbrauch oder Speicherplatz
firstInstall.automaticRecordingsMoreInfoScreen.title;;Automatische Aufnahmen
firstInstall.bleRemotePairLaterScreen.description;;Um Deine Fernbedienung mit dem Fernsehgerät zu verbinden, halte die Nummerntaste [3] und den gelben Knopf gemeinsam fünf Sekunden gedrückt.<br/>Wenn Deine Fernbedienung momentan verbunden ist, halte zuerst die Nummerntaste [3] und den gelben Knopf gemeinsam fünf Sekunden gedrückt, um die Verbindung aufzuheben.<br/>Du kannst deine Fernbedienung auch später verbinden und sie jetzt trotzdem verwenden, wenn Du damit auf die Box zeigst
firstInstall.bleRemotePairingScreen.description;;Um Deine Fernbedienung mit dem Fernsehgerät zu verbinden, halte die Nummerntaste [3] und den gelben Knopf gemeinsam fünf Sekunden gedrückt.<br/>Wenn Deine Fernbedienung momentan verbunden ist, halte zuerst die Nummerntaste [3] und den gelben Knopf gemeinsam fünf Sekunden gedrückt, um die Verbindung aufzuheben
firstInstall.bleRemotePairingScreen.title;;Fernbedienung verbinden
firstInstall.bleRemotePairingSuccessScreen.description;;Deine Fernbedienung ist mit der GigaTV Box verbunden
firstInstall.bleRemotePairingSuccessScreen.title;;Verbunden
firstInstall.buttons.ATP;;ATP
firstInstall.buttons.I&D;;I&D
firstInstall.buttons.agree;;Zustimmen
firstInstall.buttons.back;;Zurück
firstInstall.buttons.deepMode;;Energiespar-Modus
firstInstall.buttons.developerMode;;
firstInstall.buttons.disagree;;Ablehnen
firstInstall.buttons.instantMode;;Standard
firstInstall.buttons.manual;;Manuell
firstInstall.buttons.moreInfo;;Mehr Informationen
firstInstall.buttons.reset;;Zurücksetzen
firstInstall.buttons.skipScanning;;Sendersuchlauf überspringen
firstInstall.buttons.tryAgainWithEthernet;;Nochmal
firstInstall.buttons.updateAndReboot;;Aktualisieren & neu starten
firstInstall.buttons.validate;;Prüfen
firstInstall.cheatMenuScreen.desc;;Setzt die Konfigurations-Parameter der GigaTV Box außer Kraft.
firstInstall.cheatMenuScreen.title;;Developer Settings
firstInstall.consent.description;;Wenn Du ein auf Dich persönlich zugeschnittenes GigaTV Erlebnis willst, stimme einfach den Nutzungsbedingungen zu
firstInstall.contentSettingsScreen.automaticRecordingsAgreement.title;;Zeichnet automatisch alle Sender auf um bereits gesendetes Programm anzusehen.
firstInstall.contentSettingsScreen.recommendationsAgreement.title;;Empfehlungen für Filme und Serien anzeigen
firstInstall.contentSettingsScreen.title;;Einstellungen Inhalte
firstInstall.firmwareUpdateScreen.desc;;Installiere bitte die verfügbare Software-Aktualisierung. Dein Gerät wird danach automatisch neu gestartet
firstInstall.firmwareUpdateScreen.title;;Software-Update
firstInstall.irRfRemotePairLaterScreen.description;;Um Deine Fernbedienung mit dem Fernsehgerät zu verbinden, halte die Nummerntaste [1] und den gelben Knopf gemeinsam fünf Sekunden gedrückt.<br/>Wenn Deine Fernbedienung momentan verbunden ist, halte die Nummerntaste [3] und den gelben Knopf gemeinsam fünf Sekunden gedrückt um die Verbindung aufzuheben.<br/>Keine Sorge, Du kannst Deine Fernbedienung auch später verbinden und sie jetzt trotzdem verwenden, indem Du damit auf die Box zeigst
firstInstall.irRfRemotePairingScreen.description;;Um Deine Fernbedienung mit der GigaTV Box zu verbinden, musst Du die Nummerntaste [3] und den gelben Knopf gemeinsam fünf Sekunden lang gedrückt halten
firstInstall.irRfRemotePairingScreen.title;;Fernbedienung verbinden
firstInstall.irRfRemotePairingSuccessScreen.description;;Deine Fernbedienung ist mit der GigaTV Box verbunden
firstInstall.irRfRemotePairingSuccessScreen.title;;Verbunden
firstInstall.powerSaving.description;;Wenn Du die Sprachsteuerung nutzen oder Musik abspielen willst mit Bluetooth oder Spotify im Stand-By, dann muss diese Option AUS sein.<br><br>Ansonsten funktioniert das nur für eine kurze Zeit nachdem das Gerät abgeschaltet wird.<br><br>Du kannst das auch später in den GigaTV Box Einstellungen ändern
firstInstall.powerSaving.title;;Energie sparen
firstInstall.powerSaving.turnOff;;Ausschalten
firstInstall.powerSaving.turnOn;;Anschalten
firstInstall.progressbar.complete.label;;Sendersuchlauf abgeschlossen. Bitte warten...
firstInstall.progressbar.label;;Sendersuchlauf bei %1%
firstInstall.recommendationsMoreInfoScreen.description;;Deine Filme und Serien<br/><br/>Lass Dir Sendungen empfehlen, die GigaTV aus Deinen bisher angesehenen, aufgenommenen oder ausgeliehenen Inhalten für Dich zusammenstellt. Drücke hier auf OK oder gehe später in die Einstellungen und aktiviere Empfehlungen.<br/><br/>Du kannst Empfehlungen jederzeit deaktivieren
firstInstall.recommendationsMoreInfoScreen.title;;Empfehlungen
firstInstall.recoverPwdScreen.description;;Scanne diesen QR-Code auf Deinem Mobilgerät, um Dein Passwort wiederherzustellen oder zu ändern
firstInstall.recoverPwdScreen.subtitle;;Scanne den QR-Code
firstInstall.recoverPwdScreen.title;;GigaTV Passwort-Wiederherstellung
firstInstall.scanSummaryScreen.description.fail;;Keine Sender gefunden<br/>Bitte überprüfe den Antennenanschluss und versuche es erneut! Oder besuche uns online unter www.vodafone.de
firstInstall.scanSummaryScreen.description.fail.OTTOnly;;Keine Sender gefunden<br/>Bitte überprüfe die Netzwerkverbindung und versuche es erneut
firstInstall.scanSummaryScreen.description.fail.cable;;Keine Sender gefunden<br/>Bitte überprüfe das Kabel und versuche es erneut!
firstInstall.scanSummaryScreen.description.fail.ftth;;Keine Sender gefunden<br/>Bitte überprüfe das Kabel und versuche es erneut!
firstInstall.scanSummaryScreen.description.partial;;<div class='halfSummary'>Kabelsender<div class='channelsSummary'><div>%1 TV</div><div>%2 Radio</div></div></div><div class='halfSummary'>Internetsender<div class='channelsSummary'>%3 TV</div></div></div>Sendersuchlauf abgebrochen<br/>Bitte überprüfe den Antennenanschluss und versuche es erneut
firstInstall.scanSummaryScreen.description.partial.cable;;<div class='halfSummary'>Kabel<div class='channelsSummary'><div>%1 TV</div><div>%2 Radio</div></div></div><div class='halfSummary'>Internet<div class='channelsSummary'>%3 TV</div></div></div>Um den Vorgang zu wiederholen, überprüfe die Kabelverbindung und versuche es erneut
firstInstall.scanSummaryScreen.description.partial.ftth;;<div class='halfSummary'>IP<div class='channelsSummary'><div>%1 TV</div><div>%2 Radio</div></div></div><div class='halfSummary'>Internet<div class='channelsSummary'>%3 TV</div></div></div>Um den Vorgang zu wiederholen, überprüfe die Kabelverbindung und versuche es erneut.
firstInstall.scanSummaryScreen.description.success;;Sendersuchlauf abgeschlossen.<br/>Die folgenden Sender wurden gefunden:<br/><div class='halfSummary'>Kabelsender<div class='channelsSummary'><div>%1 TV</div><div>%2 Radio</div></div></div><div class='halfSummary'>Internetsender<div class='channelsSummary'>%3 TV</div></div></div>
firstInstall.scanSummaryScreen.description.success.OTTOnly;;Sendersuchlauf abgeschlossen.<br/>Die folgenden Sender wurden gefunden:<br/><div class='halfSummary'>Internet<div class='channelsSummary'>%1 TV</div></div></div>
firstInstall.scanSummaryScreen.description.success.cable;;Sendersuchlauf abgeschlossen.<br/>Die folgenden Sender wurden gefunden:<br/><div class='halfSummary'>Kabel<div class='channelsSummary'><div>%1 TV</div><div>%2 Radio</div></div></div><div class='halfSummary'>Internet<div class='channelsSummary'>%3 TV</div></div></div>
firstInstall.scanSummaryScreen.description.success.ftth;;Sendersuchlauf abgeschlossen.<br/>Die folgenden Sender wurden gefunden:<br/><div class='halfSummary'>IP<div class='channelsSummary'><div>%1 TV</div><div>%2 Radio</div></div></div><div class='halfSummary'>Internet<div class='channelsSummary'>%3 TV</div></div></div>
firstInstall.standbyModeSelectionScreen.desc;;Bitte wähle einen Energie-Modus.<br><br>Der Schnellstart-Modus startet Deine GigaTV Box schneller aus dem Stand-By (spart aber weniger Energie).<br><br>Der Energiespar-Modus verlängert die Startzeit (spart aber mehr Energie)
firstInstall.standbyModeSelectionScreen.title;;Standby-Modus
firstInstall.startChannelsScanScreen.description.cable;;Die Suche nach TV-Sender wird gestartet. Bitte überprüfe, ob das Kabel angeschlossen ist!
firstInstall.startChannelsScanScreen.description.ftth;;Der Sendersuchlauf findet lokale Fernseh- und Radiosender.
firstInstall.unpairRfRemoteScreen.description;;Press and hold the yellow button and 3 to pair your remote.
firstInstall.wifiBandwidthStateScreen.buttons.retry;;Nochmal
firstInstall.wifiNetworkErrorScreen.wirelessConnectionError;;WLAN-Verbindung fehlgeschlagen, versuche es bitte erneut
firstInstall.wifiNetworkSelector.wps;;Über WPS verbinden
firstInstall.wiredNetworkScreen.noInternet;;SC115: Deine GigaTV Box kann keine Verbindung zum Server herstellen.<br/>Bitte versuche es später erneut oder kontaktiere den technischen Kundendienst
folder.bundle.includes;;Enthält
folder.button.confirm;;Bestätigen
folder.button.selfcare.subscribe;;Abonnieren
folder.button.subscribe;;%1/Monat abonnieren
folder.button.subscribed;;Abonniert
folder.channelGrid.title;;Sender von %1
folder.subscriptionType.app;;App-Abo
folder.subscriptionType.individualLinearChannel;;Sender-Abo
folder.subscriptionType.pack;;Abo-Paket
ftu.welcome.scanQR.button.description;;
ftu.welcome.signUp.buttonText;;
gdpr.consent;;Zustimmung
gdpr.notice;;Hinweis
gdpr.privacy;;Datenschutz
gdpr.privacy.consent.ads.description;;Stimme hier einfach zu, um für Dich relevante Werbung zu sehen
gdpr.privacy.consent.confirmation;;Ohne Deine Zustimmung verpasst Du Empfehlungen und Features, die zum besten GigaTV Erlebnis führen.<br/>Willst Du trotzdem fortfahren, oder zurückgehen und Dich anders entscheiden?
gdpr.privacy.consent.description;;Um Empfehlungen zu nutzen, ist Deine Zustimmung erforderlich
gdpr.privacy.consent.kids.description;;Um das bestmögliche Kids-App-Erlebnis zu erhalten, ist Deine Zustimmung erforderlich
gdpr.privacy.consent.title;;Einwilligungserklärung
gdpr.privacy.default.notice;;Sollte der Standard-Hinweis sein ( version 0 ):<br/><br/>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aenean sagittis dignissim metus nec scelerisque. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nullam vulputate tempus risus, vel dignissim leo sodales id. Morbi eu arcu ligula. Suspendisse sed leo placerat, cursus ligula ac, consequat leo. Vestibulum vehicula vel dolor ut consequat. Curabitur vel justo justo. Vestibulum urna quam, fringilla in elit mollis, porta vestibulum odio. Vestibulum pretium dolor pharetra, euismod odio at, dictum felis. Curabitur pulvinar imperdiet ornare. Vivamus ac venenatis nulla, vel scelerisque quam. Maecenas venenatis ultrices felis et hendrerit. Nunc magna orci, suscipit a justo dictum, ornare consectetur tortor. Ut lobortis fermentum rutrum.<br/><br/>Nullam enim lacus, consequat et purus id, hendrerit faucibus massa. Sed tempor, mauris sed faucibus sodales, risus lorem tempus dolor, eget posuere dolor eros a tortor. Sed vestibulum eros eu ornare dignissim. Fusce tristique lectus mattis metus feugiat, sed dignissim dui pharetra. Cras diam turpis, finibus sed lorem ac, interdum ullamcorper massa. Ut tempus suscipit leo, at gravida metus pretium ac. Sed vestibulum vulputate turpis, vitae auctor nulla sagittis non. Cras vitae quam nec nisi imperdiet dictum in at arcu. Morbi in tempor massa. Duis efficitur nec magna et cursus. Ut ultrices, felis id dictum posuere, tortor felis fermentum urna, eu porta orci massa ut mi. Sed ut aliquam diam, a tristique ligula.<br/><br/>Aliquam justo sapien, egestas sed feugiat a, dignissim non justo. Ut vitae neque vel magna efficitur consectetur. Sed rhoncus neque euismod arcu varius, sed rutrum ex ullamcorper. Aenean lacus nisl, interdum vitae efficitur quis, facilisis id nunc. Nulla hendrerit dignissim orci. Curabitur fringilla, dui nec gravida vestibulum, ex ligula finibus ipsum, et malesuada ante est id ligula. Suspendisse vitae diam quam. Duis quis cursus orci, id hendrerit magna. Maecenas lacus sem, lobortis quis massa non, ornare condimentum lectus. Nam vitae sagittis diam. Suspendisse potenti.<br/><br/>Quisque vitae posuere metus. Etiam cursus nisl eleifend erat placerat gravida. Donec id nibh sem. Integer maximus sapien et ex malesuada posuere. Vestibulum interdum ex elementum volutpat feugiat. Suspendisse nec tincidunt libero. Phasellus fermentum posuere mauris, in faucibus libero malesuada quis. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Interdum et malesuada fames ac ante ipsum primis in faucibus. Suspendisse at finibus ligula.<br/><br/>Pellentesque euismod urna sed ante ultrices, sed dapibus nisi porta. Mauris faucibus tempus rutrum. Aliquam placerat, risus vitae rutrum faucibus, lectus lectus bibendum libero, eu iaculis metus massa in libero. Nulla at leo semper, euismod augue id, tempor turpis. Nulla viverra, tellus ut porttitor laoreet, arcu tortor faucibus ipsum, et condimentum nibh felis sed eros. Duis pretium arcu ligula, vitae accumsan metus pretium a. Praesent tellus tortor, interdum quis massa ut, tincidunt vehicula lectus.
gdpr.privacy.notice.description;; 
gdpr.privacy.notice.title;;Datenschutzerklärung
gdpr.privacy.settings.agree;;Zustimmen
gdpr.privacy.settings.agreed;;Zugestimmt
gdpr.privacy.settings.agreedAll;;Allen zustimmen
gdpr.privacy.settings.consent.description;;Um die Empfehlungen zu nutzen, ist Deine Zustimmung erforderlich
gdpr.privacy.settings.description;;Um Deine Auswahl rückgängig zu machen, wähle
gdpr.privacy.settings.disagree;;Ablehnen
gdpr.privacy.settings.disagreedAll;;Alle ablehnen
gdpr.privacy.settings.notAgreed;;Abgelehnt
gdpr.privacy.settings.notice.description;; 
gdpr.privacy.thirdPartyConsent.description;; Datenschutzeinwilligung für Drittanbieter 
gdpr.privacy.thirdPartyConsent.title;;Einwilligung zum Datenschutz von Drittanbietern
hpvr.countdown.shortSeconds;;%1 Sekunden
hpvr.dismiss;;Verwerfen
hpvr.formatDisk;;Festplatte initialisieren
hpvr.hdd.connected;;Festplatte angeschlossen
hpvr.hdd.eject.popup.title;;Ohne verbundene Festplatte können keine Aufnahmen durchgeführt oder angesehen werden
hpvr.hdd.ongoing.eject.popup.title;;Sobald Du Deine Festplatte von der GigaTV Box trennst, verlierst Du Aufnahme(n), die gerade laufen.
hpvr.hdd.recognized;;
hpvr.hddFormat.popup.subtitle;;Zur Verwendung mit dieser Box muss die Festplatte initialisiert werden.
hpvr.hddFormat.popup.title;;Es wurde eine neue Festplatte erkannt
hpvr.hddFormatFailed.popup.subtitle;;Bitte versuche es nochmal. Sollte dies nicht klappen, kontaktiere bitte den Vodafone Kundenservice
hpvr.hddFormatFailed.popup.title;;Fehler beim Leeren der Festplatte
hpvr.hddFormatting.popup.subtitle;;Bitte warten...
hpvr.hddFormatting.popup.title;;Deine Festplatte wird vorbereitet
hpvr.hddFormattingDone.popup.subtitle;;Um Deine Festplatte für Aufnahmen zu nutzen, musst Du deine GigaTV Box neu starten
hpvr.hddFormattingDone.popup.title;;Deine Festplatte wurde erfolgreich gelöscht
hpvr.hddNotRecognize.popup.subtitle;;Bitte überprüfe die Verbindung der GigaTV Festplatte
hpvr.hddNotRecognize.popup.title;;Die Festplatte wurde nicht erkannt
hpvr.hddPlugged.popup.subtitle;;Um die Festplatte für Aufnahmen nutzen zu können, muss die GigaTV Box neu gestartet werden. <br><br> Die GigaTV Box wird neu gestartet in
hpvr.hddPlugged.popup.title;;Die Festplatte ist verbunden
hpvr.newHddPlug;;Festplatte angeschlossen
hpvr.recording.cancelled;;Aufnahme abgebrochen
hpvr.recording.channelNotFound;;Unbekannter Sender – die Aufnahme konnte nicht gestartet werden. 
hpvr.recording.completed;;Aufnahme erfolgreich
hpvr.recording.deleted;;Aufnahme gelöscht
hpvr.recording.hddBufferOverflow;;Die Aufnahme konnte aufgrund eines Überlaufs des Zeitpuffers auf der Festplatte nicht abgeschlossen werden
hpvr.recording.noCASSessionAvailable;;Aufnahme konnte aufgrund Fehlers nicht abgeschlossen werden
hpvr.recording.noEntitlement;;Die Aufnahme konnte nicht abgeschlossen werden, da Du keine Berechtigung für diesen Inhalt hast
hpvr.recording.noHDD;;Die Aufnahme konnte nicht abgeschlossen werden, da die Festplatte entfernt wurde
hpvr.recording.noHDDSpace;;Die Aufnahme konnte nicht abgeschlossen werden, da nicht genügend Festplattenspeicher zu Verfügung steht
hpvr.recording.noHDDWritable;;Die Aufnahme konnte aufgrund eines unbekannten Schreibfehlers auf der Festplatte nicht abgeschlossen werden
hpvr.recording.noSignal;;Die Aufnahme konnte aufgrund eines Signalverlusts nicht abgeschlossen werden
hpvr.recording.noTunersAvailable;;Die Aufnahme konnte aufgrund fehlender Tuner nicht abgeschlossen werden
hpvr.recording.ongoing;;Die Aufnahme hat bereits begonnen.
hpvr.recording.partiallyCompleted;;Die Aufnahme hat begonnen, wurde aber vom System unterbrochen.
hpvr.recording.scheduled;;Aufnahme erfolgreich geplant
hpvr.restartLater;;Später neu starten
hpvr.restartNow;;Jetzt neu starten
hpvr.subtitle.hddDisconnectedInformations;;Schließe Deine Festplatte wieder an, um lokale Aufnahmen ansehen zu können
hpvr.subtitle.localQuotaLimitReached;;Lösche angesehene und alte Aufnahmen
hpvr.title.formattingStorage;;Die Festplatte wurde formatiert
hpvr.title.hddDisconnected;;Deine Festplatte ist nicht verbunden
hpvr.title.localQuotaLimitReached;;Das Limit der Festplatte ist erreicht
hybridPvrNotification.lowStorageForRecord;;Um Speicherplatz freizugeben, lösche bestehende Aufnahmen unter Meine Inhalte/Aufnahmen.
hybridPvrNotification.rescheduledRecording;;Neu geplante Aufnahme
hybridPvrNotification.rescheduledTo;;%1 <br>auf %2
improvedRec.cancelEpisodes.selectEpisodes;;Wähle Folgen aus zum Stornieren
improvedRec.deleteEpisodes.selectEpisodes;;Wähle die Folgen aus, die gelöscht werden sollen.
improvedRec.deleteProtectedRecording.subtitle;;Das ist eine geschützte Aufnahme. Trotzdem löschen?
improvedRec.deleteProtectedRecording.title;;Geschützte Aufnahmen löschen?
improvedRec.deleteProtectedRecordings.subtitle;;Es befinden sich geschützte Aufnahmen in Deiner aktuellen Auswahl. Willst Du trotzdem löschen?
improvedRec.deleteProtectedRecordings.title;;Geschützte Aufnahmen löschen?
improvedRec.episodeCancelledAndChooseOption.subtitle;;Willst Du mehrere Folgen oder die ganze Serie stornieren?
improvedRec.episodeCancelledAndChooseOption.title;;Aufnahmen wurden erfolgreich abgebrochen.
improvedRec.episodeDeletedAndChooseOption.subtitle;;Sollen mehrere Folgen oder die ganze Serie gelöscht werden?
improvedRec.episodeDeletedAndChooseOption.title;;Die Folge wurde gelöscht
improvedRec.filters.all;;Alle
improvedRec.filters.genre.othersInfos;;Ältere Aufnahmen ohne Genre Kategorie werden unter 'Andere' angezeigt
improvedRec.filters.genre.rail.allMovies;;Alle Filme
improvedRec.filters.genre.rail.allTvShows;;Alle TV Shows
improvedRec.filters.scheduledRecordings;;Geplante Aufnahmen
improvedRec.infos.cloudPercentage;;%1 Cloud-Speicher übrig
improvedRec.infos.localPercentage;;%1% lokaler Speicher übrig
improvedRec.infos.recordings;;%1 Aufnahmen
improvedRec.infos.selectedOf;;%1 von %2 ausgewählt
improvedRec.infos.simplePercentage;;%1% Speicherplatz übrig
improvedRec.infos.updated.recordings;;%1 aktualisierte Aufnahmen...
improvedRec.manage.noItemSelected.cancelDescription;;Du musst mindestens einen Inhalt auswählen, um etwas zu löschen
improvedRec.manage.noItemSelected.description;;Du musst mindestens einen Inhalt auswählen um etwas zu löschen
improvedRec.manage.noItemSelected.title;;Kein Inhalt ausgewählt
improvedRec.manage.protectedDescription;;%1 erfolgreich geschützte Aufnahmen
improvedRec.manage.protectedTitle;;Geschützt
improvedRec.manage.unprotectedDescription;;%1 Aufnahmen sind nun nicht mehr geschützt
improvedRec.manage.unprotectedTitle;;Ungeschützte Aufnahmen verwalten
improvedRec.manageProtect.chooseBothRecordings;;Hebe den Aufnahmeschutz von %1 lokalen Aufnahmen und %2 Cloud-Aufnahmen auf, um fortfahren zu können.
improvedRec.manageProtect.chooseCloudRecordings;;Hebe den Aufnahmeschutz von %1 Cloud-Aufnahmen auf, um fortfahren zu können.
improvedRec.manageProtect.chooseLocalRecordings;;Hebe den Aufnahmeschutz von %1 lokalen Aufnahmen auf, um fortfahren zu können.
improvedRec.manageProtect.chooseUnprotect;;Du willst insgesamt %1 Aufnahmen schützen und kannst nur %2 schützen
improvedRec.manageProtect.exceedProtected;;Zu viele geschützte Aufnahmen
improvedRec.manageProtect.maxAndLeftRecordings;;Du möchtest insgesamt %1 Aufnahmen schützen. Leider können nur %2 geschützt werden
improvedRec.manageProtect.maxAndLeftRecordingsBoth;;Du versuchst insgesamt %1 Aufnahmen aus der Cloud und %2 auf der Festplatte zu schützen, kannst aber nur %3 von jeder schützen
improvedRec.manageProtect.maxAndLeftRecordingsCloud;;Du versuchst insgesamt %1 Aufnahmen aus der Cloud zu schützen, kannst aber nur %2 schützen
improvedRec.manageProtect.maxAndLeftRecordingsLocal;;Du versuchst insgesamt %1 Aufnahmen auf der Festplatte zu schützen, kannst aber nur %2 schützen
improvedRec.manageProtect.maximumBothProtected;;Du kannst maximal %1 Aufnahmen lokal und auf der Cloud schützen
improvedRec.manageProtect.maximumCloudProtected;;Du kannst maximal %1 Aufnahmen aus der Cloud schützen
improvedRec.manageProtect.maximumLocalProtected;;Du kannst nur maximal %1 lokale Aufnahmen schützen
improvedRec.manageProtect.maximumProtected;;Zu viele geschützte Cloud-Aufnahmen
improvedRec.manageProtect.selectUnprotect;;Wähle Aufnahmeschutz aufheben, um zu bestätigen.
improvedRec.manageProtect.title;;Geschützte Aufnahmen verwalten
improvedRec.notification.cancelRecordings.description;;%1 Aufnahmen erfolgreich abgebrochen
improvedRec.notification.cancelRecordings.title;;Aufnahmen abgebrochen
improvedRec.notification.deleteRecordings.description;;%1 Folge(n) gelöscht
improvedRec.notification.deleteRecordings.title;;Gelöschte Aufnahmen
improvedRec.option.cancel;;Abbrechen
improvedRec.option.cancelAll;;Alle abbrechen
improvedRec.option.cancelSeries;;Serienaufnahme beenden
improvedRec.option.delete;;Löschen
improvedRec.option.deleteAll;;Alle löschen
improvedRec.option.deleteSeries;;Serie löschen
improvedRec.option.deleteUnprotect;;Ungeschützte Aufnahmen löschen
improvedRec.option.deselectSeason;;Auswahl von Staffel %1 aufheben
improvedRec.option.manage;;Verwalten
improvedRec.option.protect;;Schützen
improvedRec.option.selectSeason;;Staffel %1 auswählen
improvedRec.option.selectSingleEpisodes;;Einzelne Folgen auswählen
improvedRec.option.showProtected;;Alle Geschützten zeigen
improvedRec.option.unprotect;;Aufnahmeschutz aufheben
improvedRec.seriesSelected.subtitle;;Willst Du die gesamte Serie oder einzelne Folgen auswählen?
improvedRec.seriesSelected.title;;Serie auswählen
improvedRec.userAgreement.subtitle;;Bist Du sicher?
improvedRec.userAgreementForSeries.title;;Serie löschen?
improvedRec.userAgreementForUnprotected.title;;Alle ungeschützten Aufnahmen löschen?
improvedRecordings.cloud.leftSpace;;Noch <b>%1% Cloud-Speicherplatz frei</b>
improvedRecordings.local.leftSpace;;Noch <b>%1% lokaler Speicherplatz frei</b>
improvedRecordings.scheduled.recordingClashes;;Aufnahmekonflikte
improvedRecordings.scheduled.seriesRecordings;;Serienaufnahme
improvedRecordings.scheduled.singleRecordings;;Einzelaufnahme
jpn;;jpn
keyboard.search.otherPlaceholderText;;Drücke <div class='microIcon'></div> für die Suche mittels Sprachbefehl
kids.PIN.turnOff;;Deaktivieren
kids.PIN.turnOn;;Aktivieren
kids.accept.consent;;Stimme zu um zu akzeptieren.
kids.accept.notice;;Um der Erklärung zuzustimmen
kids.actors;;Schauspielerinnen und Schauspieler
kids.agreed;;Zugestimmt
kids.back;;Zurück
kids.bedtime.turnedOnFrom;;Von %1 bis %2 aktiviert
kids.cancel;;Abbrechen
kids.characters;;Avatare
kids.common.continue;;Fortfahren
kids.countdown.cancel;;Abbrechen
kids.countdown.change;;Ändern
kids.countdown.changeTimerSettings;;Timer einrichten
kids.countdown.clearCountdown;;Timer zurücksetzen
kids.countdown.overrideBedtime;;Willst Du wirklich %1s Gute-Nacht-Zeit deaktivieren?<br/>%2s Gute-Nacht-Zeit ist in %3 Stunden und %4 Minuten
kids.countdown.shortSeconds;;%1 sek
kids.countdown.startCountdown;;Timer starten
kids.countdown.updateCountdown;;Timer anpassen
kids.countdown.useBedtimeLimit;;Gute-Nacht-Zeit einhalten
kids.disagreed;;Abgelehnt
kids.exit;;Exit
kids.explanatoryCard.subtitle.text;;Keine Sendung!
kids.explanatoryCard.title.text;;Oh nein!
kids.ftusettings.ageSelection.setBirthday;;Geburtstag einstellen
kids.ftusettings.ageSelection.title;;Wähle Dein Alter
kids.ftusettings.birthdaySelection.description;;Mit Deinem Geburtsdatum wird das Profil automatisch auf das richtige Alter eingestellt.<br/>Du kannst das auch später in den Einstellungen finden und anpassen
kids.ftusettings.birthdaySelection.set;;Bestätigen
kids.ftusettings.birthdaySelection.title;;Gib Dein Geburtsdatum ein
kids.ftusettings.buttons.agree;;Zustimmen
kids.ftusettings.buttons.disagree;;Ablehnen
kids.ftusettings.buttons.getStarted;;Leg los!
kids.ftusettings.buttons.watchAgain;;Noch einmal ansehen
kids.ftusettings.changeBirthday.title;;Geburtstag ändern
kids.ftusettings.changeCharacter.title;;Avatar ändern
kids.ftusettings.changeNickname.title;;Name ändern
kids.ftusettings.characterSelection.title;;Wähle einen Avatar!
kids.ftusettings.nicknameEntry.emptyName;;Du musst mindestens einen Buchstaben eingeben
kids.ftusettings.nicknameEntry.maximumReached;;Maximal 10 Buchstaben möglich
kids.ftusettings.nicknameEntry.title;;Gib Deinen Namen ein
kids.gdpr.privacy.consent.confirmation;;Ohne Deine Zustimmung verpasst Du Empfehlungen und Features, die zum besten GigaTV Erlebnis führen.<br/>Willst Du trotzdem fortfahren, oder zurückgehen und dich anders entscheiden?
