key;en-GROUP;el-GR-x-GR text
improvedRec.manageProtect.title;;Διαχείριση προστατευμένων εγγραφών
improvedRec.notification.cancelRecordings.description;;Ακυρώθηκαν με επιτυχία %1 επεισόδια
improvedRec.notification.cancelRecordings.title;;Ακυρωμένες εγγραφές
improvedRec.notification.deleteRecordings.description;;Διαγράφηκαν επιτυχώς %1 επεισόδια
improvedRec.notification.deleteRecordings.title;;Διαγραφή εγγραφών
improvedRec.option.cancel;;Άκυρο
improvedRec.option.cancelAll;;Ακύρωση όλων
improvedRec.option.cancelSeries;;Ακύρωση εγγραφής σειράς
improvedRec.option.delete;;Διαγραφή
improvedRec.option.deleteAll;;Διαγραφή όλων
improvedRec.option.deleteSeries;;Διαγραφή σειράς
improvedRec.option.deleteUnprotect;;Διαγραφή μη προστατευόμενων
improvedRec.option.deselectSeason;;Αποεπιλογή  σεζόν %1
improvedRec.option.manage;;Διαχείριση
improvedRec.option.protect;;Προστατευμένη εγγραφή
improvedRec.option.selectSeason;;Επιλογή Σεζόν %1
improvedRec.option.selectSingleEpisodes;;Επιλογή επεισοδίων
improvedRec.option.showProtected;;Εμφάνιση όλων των προστατευμένων
improvedRec.option.unprotect;;Μη προστατευμένη εγγραφή
improvedRec.seriesSelected.subtitle;;"Θέλετε να επιλέξετε ολόκληρη τη σειρά ή μεμονωμένα επεισόδια;"
improvedRec.seriesSelected.title;;Επιλέξατε μια σειρά
improvedRec.userAgreement.subtitle;;"Είστε σίγουροι;"
improvedRec.userAgreementForSeries.title;;"Διαγραφή σειράς;"
improvedRec.userAgreementForUnprotected.title;;"Διαγραφή μη προστατευμένων επεισοδίων;"
improvedRecordings.cloud.leftSpace;;Έχετε μόνο το <b> %1% των εγγραφών στο cloud</b>.
improvedRecordings.local.leftSpace;;Έχετε μόνο το <b> %1% των τοπικών εγγραφών</b>.
improvedRecordings.scheduled.recordingClashes;;Εγγραφές συμπίπτουν
improvedRecordings.scheduled.seriesRecordings;;Εγγραφές σειρών
improvedRecordings.scheduled.singleRecordings;;Μονές εγγραφές
jpn;;jpn
keyboard.search.otherPlaceholderText;;Πιέστε <div class='microIcon'></div> για να ενεργοποιήσετε τον φωνητικό έλεγχο
kids.PIN.turnOff;;ΑΠΕΝΕΡΓΟΠΟΙΗΣΗ
kids.PIN.turnOn;;ΕΝΕΡΓΟΠΟΙΗΣΗ
kids.accept.consent;;Για αποδοχή της δήλωσης
kids.accept.notice;;Για αποδοχή ειδοποίησης
kids.actors;;ΗΘΟΠΟΙΟΙ
kids.agreed;;Συμφωνώ
kids.back;;ΠΡΟΗΓΟΥΜΕΝΟ
kids.bedtime.turnedOnFrom;;Ενεργοποίηση από %1 έως %2
kids.cancel;;Ακύρωση
kids.characters;;Χαρακτήρες
kids.common.continue;;ΣΥΝΕΧΙΣΤΕ
kids.countdown.cancel;;Άκυρο
kids.countdown.change;;Άλλαξε
kids.countdown.changeTimerSettings;;ΓΙΑ ΝΑ ΟΡΙΣΕΤΕ ΤΟ ΧΡΟΝΙΚΟ ΠΕΡΙΘΩΡΙΟ
kids.countdown.clearCountdown;;ΜΗΔΕΝΙΣΜΟΣ ΧΡΟΝΙΚΟΥ ΠΕΡΙΘΩΡΙΟΥ
kids.countdown.overrideBedtime;;"ΘΕΛΕΤΕ ΝΑ ΑΛΛΑΞΕΤΕ ΤΗΝ ΩΡΑ ΥΠΝΟΥ;<br/>Η ΩΡΑ ΥΠΝΟΥ ΕΙΝΑΙ ΣΕ %3 ΩΡΕΣ ΚΑΙ %4 ΛΕΠΤΑ."
kids.countdown.shortSeconds;;%1 ΔΕΥΤΕΡΟΛΕΠΤΟ
kids.countdown.startCountdown;;ΞΕΚΙΝΗΣΤΕ ΤΟ ΧΡΟΝΙΚΟ ΠΕΡΙΘΩΡΙΟ
kids.countdown.updateCountdown;;Αλλαγή χρονικού περιθωρίου
kids.countdown.useBedtimeLimit;;ΕΝΕΡΓΟΠΟΙΗΣΗ ΤΟΥ ΚΛΕΙΔΩΜΑΤΟΣ ΩΡΑΣ ΥΠΝΟΥ
kids.disagreed;;Διαφωνώ
kids.exit;;ΕΞΟΔΟΣ
kids.explanatoryCard.subtitle.text;;Δεν υπάρχει περιεχόμενο
kids.explanatoryCard.title.text;;Ουπς πρόβλημα. Φώναξε έναν μεγάλο!
kids.ftusettings.ageSelection.setBirthday;;ΕΙΣΑΓΕΤΕ ΗΜΕΡΟΜΗΝΙΑ ΓΕΝΝΗΣΗΣ
kids.ftusettings.ageSelection.title;;Επιλέξτε την ηλικία σας
kids.ftusettings.birthdaySelection.description;;ΡΥΘΜΙΣΤΕ ΤΗΝ ΗΜΕΡΟΜΗΝΙΑ ΓΕΝΕΘΛΙΩΝ ΣΑΣ ΓΙΑ ΝΑ ΕΝΗΜΕΡΩΝΕΤΑΙ ΑΥΤΟΜΑΤΑ <br/>ΤΟ ΠΡΟΦΙΛ ΣΑΣ ΣΤΗ ΣΩΣΤΗ ΗΛΙΚΙΑ.
kids.ftusettings.birthdaySelection.set;;ΕΙΣΑΓΩΓΗ
kids.ftusettings.birthdaySelection.title;;ΕΙΣΑΓΕΤΕ ΗΜΕΡΟΜΗΜΙΑ ΓΕΝΝΗΣΗΣ
kids.ftusettings.buttons.agree;;Συμφωνώ
kids.ftusettings.buttons.disagree;;Διαφωνώ
kids.ftusettings.buttons.getStarted;;Ξεκινήστε από εδώ
kids.ftusettings.buttons.watchAgain;;ΠΑΡΑΚΟΛΟΥΘΗΣΗ ΞΑΝΑ
kids.ftusettings.changeBirthday.title;;ΑΛΛΑΓΗ ΓΕΝΕΘΛΙΩΝ
kids.ftusettings.changeCharacter.title;;ΑΛΛΑΓΗ ΧΑΡΑΚΤΗΡΑ
kids.ftusettings.changeNickname.title;;ΑΛΛΑΓΗ ΨΕΥΔΩΝΥΜΟΥ
kids.ftusettings.characterSelection.title;;Επιλέξτε έναν χαρακτήρα
kids.ftusettings.nicknameEntry.emptyName;;ΠΡΕΠΕΙ ΝΑ ΕΙΣΑΓΕΤΕ ΤΟΥΛΑΧΙΣΤΟΝ ΕΝΑ ΓΡΑΜΜΑ
kids.ftusettings.nicknameEntry.maximumReached;;ΕΠΙΤΡΕΠΟΝΤΑΙ ΜΟΝΟ 10 ΓΡΑΜΜΑΤΑ
kids.ftusettings.nicknameEntry.title;;Εισάγετε το ψευδώνυμο σας
kids.gdpr.privacy.consent.confirmation;;"Μη συμφωνώντας δεν θα λαμβάνετε προτάσεις για ταινίες και σειρές καθώς και άλλες πρόσθετες λειτουργίες που δίνουν καλύτερη εμπειρία στο Vodafone TV. <br/>Είστε βέβαιοι ότι θέλετε να προχωρήσετε με αυτή την επιλογή;"
kids.gdpr.privacy.consent.subtitle;;Για να σας λαμβάνετε προτάσεις πρέπει να συμφωνήσετε με την πολιτική απορρήτου
kids.gdpr.privacy.consent.subtitle.part2;;Αυτή η επιλογή επηρεάζει όλα τα προφίλ
kids.gdpr.privacy.consent.title;;Συγκατάθεση απορρήτου
kids.gdpr.privacy.default.consent;;
kids.gdpr.privacy.default.notice;;
kids.gdpr.privacy.notice.title;;ΠΟΛΙΤΙΚΗ ΑΠΟΡΡΗΤΟΥ
kids.languages.turnedOff;;ΑΠΕΝΕΡΓΟΠΟΙΗΜΕΝΟ
kids.languages.turnedOn;;ΕΝΕΡΓΟΠΟΙΗΜΕΝΟ
kids.menu;;Μενού
kids.menu.episode;;ΕΠΕΙΣΟΔΙΟ
kids.menu.season;;ΚΥΚΛΟΣ
kids.notForKids.changeChannel;;ΑΛΛΑΞΤΕ ΚΑΝΑΛΙ ΓΙΑ ΠΕΡΙΣΣΟΤΕΡΟ ΠΑΙΔΙΚΟ ΠΕΡΙΕΧΟΜΕΝΟ
kids.notForKids.showNotForKids;;Αυτό το περιεχόμενο δεν είναι για παιδία
kids.notification.incorrect.configuration.description;;Η εφαρμογή δεν είναι διαθέσιμη
kids.notification.network.offline.subtitle;;Παρουσιάστηκε ένα σφάλμα δικτύου κατα την αναπαραγωγή
kids.notification.network.offline.title;;Σφάλμα δικτύου
kids.notification.noContent.message;;Δεν υπάρχει διαθέσιμο περιεχόμενο
kids.notification.noContent.subtitle;;Δεν υπάρχει περιεχόμενο για παιδιά
kids.notification.noContent.title;;Δεν υπάρχει περιεχόμενο
kids.notification.player.error.subtitle;;Παρουσιάστηκε ένα σφάλμα κατα την αναπαραγωγή
kids.notification.player.error.title;;Σφάλμα αναπαραγωγής
kids.pinEntry.accessProfile;;ΓΙΑ ΠΡΟΣΒΑΣΗ ΣΤΟ ΠΡΟΦΙΛ
kids.pinEntry.approveProfile;;ΓΙΑ ΝΑ ΕΓΚΡΙΝΕΤΕ ΤΟ ΠΡΟΦΙΛ
kids.pinEntry.deleteProfile;;Για να διαγράψετε το %1 προφίλ
kids.pinEntry.enterSettings;;ΓΙΑ ΝΑ ΜΠΕΙΤΕ ΣΤΙΣ ΡΥΘΜΙΣΕΙΣ
kids.pinEntry.exit;;ΓΙΑ ΕΞΟΔΟ ΑΠΟ ΤΗΝ ΠΑΙΔΙΚΗ ΛΕΙΤΟΥΡΓΙΑ
kids.pinEntry.help.defaultPin;;Το αρχικό προεπιλεγμένο PIN είναι 1234.
kids.pinEntry.help.details;;Όταν ενεργοποιηθεί, το PIN θα χρησιμοποιείται για την επαλήθευση αγορών <br/>, για τις πληρωμές, για αλλαγές στις ρυθμίσεις <br/> και για αλλαγή του γονικού ελέγχου (αν επιλέξετε να τις ενεργοποιήσετε).  <br/><br/><br/> <br/><br/><br/>  Εάν ξεχάσετε τον κωδικό PIN σας, καλέστε 13830 για επαναφορά
kids.pinEntry.help.whats;;"Τι είναι το PIN;"
kids.pinEntry.title;;ΕΙΣΑΓΕΤΕ ΤΟ PIN
kids.player.back;;ΠΡΟΗΓΟΥΜΕΝΟ
kids.player.info;;ΠΛΗΡΟΦΟΡΙΕΣ
kids.player.retry;;Δοκιμάστε ξανά
kids.player.setCountdown;;ΟΡΙΣΤΕ ΧΡΟΝΙΚΟ ΠΕΡΙΘΩΡΙΟ
kids.playerError;;Παρουσιάστηκε ένα σφάλμα κατα την αναπαραγωγή
kids.profileSelection.addProfile;;ΠΡΟΣΘΗΚΗ ΠΡΟΦΙΛ
kids.profileSelection.aged;;ΗΛΙΚΙΑ %1
kids.profileSelection.bedtimeStartedSince;;Η ώρα ύπνου ξεκίνησε %1 πριν
kids.profileSelection.bedtimeStartedSince.atLeastTwoHours;;Η ώρα ύπνου ξεκίνησε %1 ώρες πριν
kids.profileSelection.bedtimeStartedSince.betweenOneHourAndTwoHours;;Η ώρα ύπνου ξεκίνησε πριν από %1 ώρες και %2 λεπτό(ά)
kids.profileSelection.bedtimeStartedSince.lessThanOneHour;;Η ώρα ύπνου ξεκίνησε πριν από %1 λεπτό(ά)
kids.profileSelection.countdownFinishedSince;;Το χρονικό περιθώριο τελείωσε πριν από %1
kids.profileSelection.settings;;ΡΥΘΜΙΣΕΙΣ
kids.profileSelection.unconfirmed;;Μη επιβεβαιωμένος
kids.profiles;;ΠΡΟΦΙΛ
kids.programInfo.audioDescription;;ΠΕΡΙΓΡΑΦΙΚΟΣ ΗΧΟΣ
kids.programInfo.language;;ΓΛΩΣΣΑ
kids.programInfo.subtitles;;ΥΠΟΤΙΤΛΟΙ
kids.settings;;ΓΟΝΙΚΟΣ ΕΛΕΓΧΟΣ
kids.settings.bedtime;;ΩΡΑ ΥΠΝΟΥ
kids.settings.bedtime.from;;ΑΠΟ
kids.settings.bedtime.setBedtime;;ΟΡΙΣΜΟΣ ΩΡΑΣ ΥΠΝΟΥ
kids.settings.bedtime.setTime;;ΟΡΙΣΜΟΣ ΩΡΑΣ
kids.settings.bedtime.to;;ΕΩΣ
kids.settings.changeAge;;ΑΛΛΑΓΗ ΗΛΙΚΙΑΣ
kids.settings.changeAvatar;;ΑΛΛΑΓΗ ΕΙΚΟΝΑΣ
kids.settings.changeName;;ΑΛΛΑΓΗ ΟΝΟΜΑΤΟΣ
kids.settings.content.preferredLanguage;;ΓΛΩΣΣΑ
kids.settings.contentSettings;;ΡΥΘΜΙΣΕΙΣ ΠΕΡΙΕΧΟΜΕΝΟΥ
kids.settings.delete;;ΔΙΑΓΡΑΦΗ
kids.settings.deleteProfile;;ΔΙΑΓΡΑΦΗ ΠΡΟΦΙΛ
kids.settings.editProfile;;ΑΛΛΑΓΗ ΠΡΟΦΙΛ
kids.settings.help;;ΒΟΗΘΕΙΑ
kids.settings.pinRequest;;ΑΠΑΙΤΕΙΤΑΙ PIN
kids.settings.privacy;;ΠΟΛΙΤΙΚΗ ΑΠΟΡΡΗΤΟΥ
kids.settings.showVideos;;ΠΡΟΒΟΛΗ ΤΟΥ ΒΙΝΤΕΟ ΕΙΣΑΓΩΓΗΣ
kids.settings.subtitle.askForPin;;ΑΠΑΙΤΕΤΑΙ PIN
kids.settings.subtitle.deleteProfile.part1;;ΕΙΣΤΕ ΣΙΓΟΥΡΟΙ ΓΙΑ
kids.settings.subtitle.deleteProfile.part2;;"ΔΙΑΓΡΑΦΗ ΠΡΟΦΙΛ %1 ;"
kids.settings.timeManagement;;ΔΙΑΧΕΙΡΙΣΗ ΧΡΟΝΟΥ
kids.tick.dontShowAgain;;Να μην εμφανιστεί ξανά.
kids.timeOver.addMoreTime;;ΠΡΟΣΘΕΣΤΕ ΠΕΡΙΣΣΟΤΕΡΟ ΧΡΟΝΟ
kids.timeOver.exit;;ΕΞΟΔΟΣ ΑΠΟ ΤΑ ΠΑΙΔΙΚΑ
kids.timeOver.takeABreak;;ΩΡΑ ΝΑ ΚΑΝΕΤΕ ΕΝΑ ΔΙΑΛΕΙΜΜΑ
kids.timeOver.wakeup;;Αφύπνιση
kids.turnOff;;ΑΠΕΝΕΡΓΟΠΟΙΗΣΗ
kids.turnOn;;ΕΝΕΡΓΟΠΟΙΗΣΗ
kids.turnedOff;;ΑΠΕΝΕΡΓΟΠΟΙΗΜΕΝΟ
kids.turnedOn;;ΕΝΕΡΓΟΠΟΙΗΜΕΝΟ
kids.update.gdpr.privacy.consent.subtitle;;Για να σας λαμβάνετε προτάσεις πρέπει να συμφωνήσετε με την πολιτική απορρήτου
kids.update.gdpr.privacy.consent.subtitle.part2;;Αυτή η επιλογή επηρεάζει όλα τα προφίλ
kids.update.gdpr.privacy.consent.title;;Ενημέρωση συγκατάθεσης της πολιτικής απορρήτου
kids.update.gdpr.privacy.notice.subtitle;;Για να συνεχίσετε διαβάστε και αποδεχτείτε τους όρους
kids.update.gdpr.privacy.notice.title;;ΕΝΗΜΕΡΩΣΗ ΤΗΣ ΠΟΛΙΤΙΚΗΣ ΑΠΟΡΡΗΤΟΥ
language.afr;;Αφρικανικά
language.ang;;Αγγλικά, Παλία (ca. 450–1100)
language.ara;;Αραβικά
language.auto;;Αυτόματη
language.ces;;Τσέχικα
language.chi;;Κινέζικα
language.dan;;Danish
language.de-DE;;Deutsch (DE)
language.dut;;Ολλανδικά
language.ell;;Ελληνικά
language.en-GB;;English (GB)
language.en-US;;English (US)
language.es-ES;;Español (ES)
language.fas;;Περσικά
language.fin;;Φινλανδικά
language.grc;;Ελληνικά
language.gsw;;Γερμανικά
language.heb;;Εβραϊκά
language.hin;;Ινδικά
language.hun;;Ουγγρικά
language.isl;;Ισλανδικά
language.it-IT;;Ιταλικά (IT)
language.jap;;Ιαπωνικά
language.jpn;;Ιαπωνικά
language.kaz;;Καζακστάν
language.kor;;Κορεάτικα
language.lav;;Λετονικά
language.mao;;Μαορί
language.mri;;Μαορί
language.mul;;Πολύγλωσσο
language.nld;;Ολλανδικά
language.nor;;Νορβηγικά
language.per;;Περσικά
language.pol;;Πολωνικά
language.por;;Πορτογαλικά
language.prt;;Πορτογαλικά
language.pt-BR;;Português (PT)
language.pt-PT;;Português (PT)
language.qaa;;Πρωτότυπη γλώσσα
language.ron;;Ρουμάνικα
language.rus;;Ρώσικα
language.slk;;Σλοβάκικα
language.slv;;Σλοβένικα
language.sqi;;Αλβανικά
language.ukr;;Ουκρανικά
language.zho;;Κινέζικα
mainMenu.kids;;Παιδικά
mainMenu.mediaLibrary;;Video Club
mainMenu.onTv.title;;Κανάλια
mainMenu.recordings;;Εγγραφές
mainMenu.topBar.search;;Αναζήτηση για ταινίες, σειρές, ηθοποιούς...
mainMenu.tvGuide.subscribeNow;;Εγγραφείτε τώρα
mainMenu.tvGuide.watch;;Παρακολούθηση
maintenance.description;;Το αποκωδικοποιητής βελτιστοποιεί την εμπειρία σας. Αυτό μπορεί να διαρκέσει μερικά λεπτά. Μην απενεργοποιείτε ή αποσυνδέετε μέχρι να ολοκληρωθεί.
maintenance.title;;Ενημέρωση λογισμικού σε εξέλιξη
miniProgramInfo.showMore;;ΠΕΡΙΣΣΟΤΕΡΕΣ ΠΛΗΡΟΦΟΡΙΕΣ
myApps.Shortcut.Add;;Προσθήκη στις εφαρμογές μου
myApps.Shortcut.Manage;;Διαχείριση
myApps.add.info;;Επιλέξτε τις εφαρμογές που θέλετε να προσθέσετε
myApps.add.title;;Προσθήκη στις εφαρμογές μου
myApps.delete.info;;Επιλέξτε τις εφαρμογές που θέλετε να αφαιρέσετε
myApps.delete.title;;Αφαίρεση από τις εφαρμογές μου
myApps.manage.favorite;;Οι εφαρμογές μου - Αγαπημένα
myApps.manage.info.favorite;;Δείτε και επεξεργαστείτε τις αγαπημένες σας εφαρμογές
myApps.manage.info.favorite.number;;%1 εφαρμογές
myApps.manage.info.recent;;Προβολή των 20 πιο πρόσφατων εφαρμογών
myApps.manage.info.recent.number;;Δεν έχετε χρησιμοποιήσει κάποια εφαρμογή
myApps.manage.recent;;Οι εφαρμογές μου - Πρόσφατες
myApps.manage.title;;Οι εφαρμογές μου
myApps.reorder.info.default;;Επιλέξτε την εφαρμογή που θέλετε να μετακινήσετε
myApps.reorder.info.reorderMode;;Πιέστε δεξιά ή αριστερά για να μετακινήσετε την εφαρμογή. Επιβεβαιώστε με το ΟΚ
myApps.reorder.title;;Ταξινόμηση των εφαρμογών μου
mytv.external.myTVRecommendations;;Προτεινόμενα για εσένα
mytv.kaltura.Adults;;Περιεχόμενο για ενηλίκους
mytv.recommendations;;Προτεινόμενα για εσένα
mytv.recommended;;Προτεινόμενα
mytv.recordings.all.lastMonth;;Περασμένο μήνα
mytv.recordings.all.lastWeek;;Περασμένη εβδομάδα
mytv.recordings.all.month;;Αυτό τον μήνα
mytv.recordings.all.older;;Παλαιότερα
mytv.recordings.all.week;;Αυτή την εβδομάδα
mytv.recordings.cloud.future;;Λήγει αργότερα
mytv.recordings.cloud.month;;Λήγει αυτό τον μήνα
mytv.recordings.cloud.never;;Δεν έχει ημερομηνία λήξης
mytv.recordings.cloud.nextMonth;;Λήγει τον άλλο μήνα
mytv.recordings.cloud.nextWeek;;Λήγει την άλλη εβδομάδα
mytv.recordings.cloud.week;;Λήγει αυτή την εβδομάδα
mytv.recordings.cloud.year;;Λήγει αυτόν τον χρόνο
mytv.recordings.failed.lastMonth;;Περασμένο μήνα
mytv.recordings.failed.lastWeek;;Περασμένη εβδομάδα
mytv.recordings.failed.month;;Αυτό το μήνα
mytv.recordings.failed.week;;Αυτή την εβδομάδα
mytv.recordings.local.hd;;HD
mytv.recordings.local.lastMonth;;Περασμένο μήνα
mytv.recordings.local.lastWeek;;Περασμένη εβδομάδα
mytv.recordings.local.month;;Αυτό το μήνα
mytv.recordings.local.older;;Παλαιότερα
mytv.recordings.local.other;;Άλλο
mytv.recordings.local.sd;;SD
mytv.recordings.local.uhd;;4K
mytv.recordings.local.week;;Αυτή την εβδομάδα
mytv.recordings.month;;Αυτό το μήνα
mytv.recordings.nextWeek;;Επόμενη εβδομάδα
mytv.recordings.older;;Παλαιότερες εγγραφές
mytv.recordings.scheduledRecordings.clashes;;Εγγραφές συμπίπτουν
mytv.recordings.scheduledRecordings.series;;Εγγραφές σειρών
mytv.recordings.scheduledRecordings.single;;Μοναδικές εγγραφές
mytv.recordings.soon;;Λήγουν σύντομα
mytv.recordings.unwatched.lastMonth;;Περασμένο μήνα
mytv.recordings.unwatched.lastWeek;;Περασμένη εβδομάδα
mytv.recordings.unwatched.month;;Αυτό το μήνα
mytv.recordings.unwatched.week;;Αυτή την εβδομάδα
mytv.recordings.week;;Αυτή την εβδομάδα
mytvRecommendations1;;Συνεχίστε την παρακολούθηση
mytvRecommendations2;;Προτεινόμενα για εσένα
nagra.information.authNToken;;Token πιστοποίησης
nagra.information.cakVersion;;CAK Version
nagra.information.chipset.revision;;Chipset Revision
nagra.information.chipset.type;;Chipset Type
nagra.information.dasSDKVersion;;Έκδοση DAS SDK
nagra.information.irdsn;;IRDSN
nagra.information.lastAuthNTokenDate;;Last AuthN token refresh
nagra.information.lastConnectionsToOTT;;Last connections to OTT
nagra.information.lastEntitlement;;Last Entitlement Date
nagra.information.lastLicenceUpdate;;Τελευταία ανανέωση αδειών
nagra.information.lastProvision;;Last Provision Date
nagra.information.nc.OpVaultTimestamp;;Op Vault Timestamp
nagra.information.nc.deviceUniqueId;;Αναγνωριστικό συσκευής
nagra.information.nc.initStatus;;Init Status
nagra.information.nc.integrationContextCertificateName;;Όνομα πιστοποιητικού
nagra.information.nc.integrationContextCertificateOperatorId;;Certificate Operator Id
nagra.information.nc.integrationContextCertificatePlatform;;Πιστοποιητικό πλατφόρμας
nagra.information.nc.integrationContextCertificateSecurityLevel;;Επίπεδο ασφαλείας
nagra.information.nc.integrationContextCertificateType;;Τύπος πιστοποιητικού
nagra.information.nc.nuid;;NUID
nagra.information.nc.prmaVersion;;PRMA έκδοση
nagra.information.nc.prmcVersion;;PRMC έκδοση
nagra.information.nuid;;NUID
nagra.information.projectInfo;;Πληροφορίες έργου
nagra.popups.connectionLost;;Πρόβλημα σύνδεσης
nagra.popups.defaultError;;Το κανάλι δεν ανήκει στις συνδρομές σας.
nagra.popups.suspended;;Ο αποκωδικοποιητής είναι προσωρινά απενεργοποιημένος.
nagra.popups.uninitialized;;Ο αποκωδικοποιητής δεν έχει ενεργοποιηθεί
nagra.popups.unsubscribed;;Δεν έχετε συνδρομή για αυτό το κανάλι. Επικοινωνήστε με το 13830 για εγγραφή.
network.wifi.band.unit;;GHz
network.wifi.quality.good;;Πολύ καλή σύνδεση
network.wifi.quality.incompatible;;Κακή σύνδεση
network.wifi.quality.sufficient;;Eπαρκής σύνδεση
networkAccessValidation.defaultErrorMessage;;Μη έγκυρη πρόσβαση στο δίκτυο. Συνδέστε τον αποκωδικοποιητή σας στο δίκτυο Vodafone και δοκιμάστε ξανά
notification.HDCPError.description;;Αν το πρόβλημα παραμένει επικοινωνήστε με τον ΤΟΒi στο www.vodafone.gr.
notification.HDCPError.title;;Σφάλμα HDCP
notification.adultProgram.hidden.description;;Αλλάξτε τις γονικές ρυθμίσεις για παρακολούθηση
notification.adultProgram.hidden.title;;Κλειδωμένο περιεχόμενο
notification.alexa.alert.description;;"Απλώς πείτε ""Alexa σταμάτα"" για απενεργοποίηση."
notification.alexa.alert.title;;Ειδοποίηση Alexa
notification.alexa.alexaNumberOfNotification.title;;Έχετε %1 Ειδοποίηση Alexa 
notification.alexa.apps.notAvailable;;O έλεγχος πολυμέσων δεν είναι διαθέσιμός μέσα στις εφαρμογές
notification.alexa.apps.wrongContext;;O έλεγχος πολυμέσων δεν είναι διαθέσιμCurrent ABR Profileός μέσα στις εφαρμογές
notification.alexa.listenToNotification.description;;"Απλώς πείτε ""Ακούστε ειδοποιήσεις"" για να ακούσετε περισσότερα"
notification.alexa.pressingVoiceButton.description;;"Πατήστε το κουμπί φωνής και πείτε ""Ακούστε ειδοποιήσεις"" για να ακούσετε περισσότερα"
notification.alexaAction.disabledInsideApps;;Ο φωνητικός έλεγχος δεν είναι διαθέσιμος όταν βρίσκεστε εντός εφαρμογών.
notification.app.cts.token.error;;Παρουσιάστηκε κάποιο σφάλμα. Η εφαρμογή θα εκκινήσει αλλά ίσως να μην λειτουργεί σωστά.
notification.app.gdpr.disagree;;Μπορείτε να αλλάξει την συγκατάθεση απορρήτου από τις ρυθμίσεις
notification.app.notSubscribed;;Δεν έχετε συνδρομή για αυτή την υπηρεσία.
notification.automaticRecordings.channelDisabled;;Παρακαλώ ενεργοποιήστε την αυτόματη εγγραφή για αυτό το κανάλι.
notification.backend.error;;SC402: Σφάλμα σύνδεσης. Παρακαλώ δοκιμάστε αργότερα.
notification.bleRemotePairing.failed;;Δεν ήταν δυνατός ο συγχρονισμός του τηλεχειριστηρίου.
notification.bleRemotePairing.info;;Για να χρησιμοποιήσετε τον έλεγχο φωνής πατήστε τα κουμπιά κίτρινο και 1 και κρατήστε τα για 5 δευτερόλεπτα για να συγχρονίσετε το τηλεχειριστήριο.
notification.bleRemotePairing.success;;Το τηλεχειριστήριο έχει τώρα συγχρονίσει μέσω bluetooth
notification.bluetooth.connected;;Bluetooth συνδεδεμένο
notification.bluetooth.disconnected;;Bluetooth αποσυνδεδεμένο
notification.bluetooth.fail;;Αποτυχία σύνδεσης
notification.bluetooth.multiple.remove.subtitle;;Αφερέθηκαν 1% συσκευές
notification.bluetooth.noDevice;;Δεν βρέθηκε νέα συσκευή
notification.bluetooth.rcu.connected;;Το τηλεχειριστήριο είναι πλέον συνδεδεμένο μέσω Bluetooth
notification.bluetooth.remove;;Αφαίρεση των bluetooth συσκευών
notification.bluetooth.remove.subtitle;; Διαγράφηκαν %1 συσκευές
notification.bluetooth.success;;Επιτυχής σύνδεση
notification.bluetooth.unsupportedRcu.description;;Το τηλεκοντρόλ δεν έχει την σωστή έκδοση λογισμικού
notification.bluetooth.unsupportedRcu.title;;Μη υποστιριζόμενο τηλεκοντρόλ
notification.buy.notPossible;;Αυτή η αγορά δεν μπορεί να γίνει από αυτή την συσκευή.
notification.channel.liveApp;;Πιέστε το πλήκτρο πάνω ή κάτω για να συνδεθείτε στην %1 εφαρμογή.
notification.channel.liveApp.redButton;;Πιέστε το κόκκινο κουμπί για έναρξη της εφαρμογής %1.
notification.drmUnavailable.description;;Αδυναμία σύνδεσης με Nagra
notification.drmUnavailable.title;;DRM μη διαθέσιμο
notification.episode.past;;Το επεισόδιο είναι τώρα διαθέσιμο στις εγγραφές
notification.episode.scheduled;;Η εγγραφή προγραμματίστηκε
notification.episode.scheduledNew;;H εγγραφή της σειράς %1 προγραμματίστηκε
notification.episode.start;;Εγγραφή
notification.folder.confirm;;ΟΚ
notification.frequentlyAskedQuestions.fetch.error;;Δεν είναι δυνατή η εμφάνιση των συχνών ερωτήσεων
notification.mcast.insufficient.bandwidth;;Η ταχύτητα της σύνδεσης δεν επαρκεί.
notification.network.fallback;;Οι νέες ρυθμίσεις δεν είναι έγκυρες. Δοκιμάστε ξανά ή πατήστε BACK για αναίρεση και διατήρηση των υφιστάμενων ρυθμίσεων.
notification.network.fallback.Id;;ID %1
notification.network.noMuMimoEnabled;;Η ταχύτητα της WiFi σύνδεσης δεν επαρκεί για την σωστή λειτουργία του Vodafone TV. Δοκιμάστε να φέρετε το ρούτερ πιο κοντά στον αποκωδικοποιητή. Αν το πρόβλημα παραμένει επικοινωνήστε με τον TOBi στο www.vodafone.gr
notification.network.notEnoughBandwidth;;Λόγω χαμηλής ταχύτητας του WiFi σας, η ποιότητα της υπηρεσίας ενδέχεται να υποβαθμιστεί, για να επιλύσετε αυτό το πρόβλημα, μεταβείτε στις Ρυθμίσεις> Περισσότερες ρυθμίσεις> Δίκτυο και επιλέξτε ένα άλλο δίκτυο
notification.offline.error;;Το Vodafone TV είναι εκτός σύνδεσης
notification.player.blackout.message1;;Το πρόγραμμα που επιλέξατε δεν είναι διαθέσιμο για προβολή. Παρακαλώ δοκιμάστε αργότερα
notification.player.blackout.message2;;Το πρόγραμμα που επιλέξατε δεν είναι διαθέσιμο για προβολή. Παρακαλώ δοκιμάστε αργότερα
